\\Hourly Demand Report,,,
\\Created at 2018-05-22 08:00:00,,,
\\For 2009,,,
Date,Hour,Market Demand,Ontario Demand
2009-01-01,1,17714,16011
2009-01-01,2,17555,15503
2009-01-01,3,17228,15095
2009-01-01,4,16920,14880
2009-01-01,5,16909,14883
2009-01-01,6,17049,15023
2009-01-01,7,17488,15215
2009-01-01,8,17787,15488
2009-01-01,9,17661,15538
2009-01-01,10,17998,15901
2009-01-01,11,18170,16155
2009-01-01,12,18293,16435
2009-01-01,13,18766,16519
2009-01-01,14,18786,16355
2009-01-01,15,18905,16398
2009-01-01,16,19063,16703
2009-01-01,17,19431,17477
2009-01-01,18,20585,18635
2009-01-01,19,20504,18497
2009-01-01,20,19841,18157
2009-01-01,21,19561,17774
2009-01-01,22,19342,17243
2009-01-01,23,18690,16451
2009-01-01,24,17495,15370
2009-01-02,1,16670,14647
2009-01-02,2,16237,14219
2009-01-02,3,16049,13990
2009-01-02,4,16348,13872
2009-01-02,5,16569,13907
2009-01-02,6,16855,14260
2009-01-02,7,17544,15135
2009-01-02,8,18525,16004
2009-01-02,9,19123,16613
2009-01-02,10,19508,17164
2009-01-02,11,19313,17523
2009-01-02,12,19507,17551
2009-01-02,13,19600,17509
2009-01-02,14,19483,17303
2009-01-02,15,19515,17237
2009-01-02,16,19665,17412
2009-01-02,17,20748,18164
2009-01-02,18,21853,19337
2009-01-02,19,21764,19417
2009-01-02,20,21529,18840
2009-01-02,21,20679,18286
2009-01-02,22,19831,17621
2009-01-02,23,18577,16694
2009-01-02,24,17719,15736
2009-01-03,1,17090,14849
2009-01-03,2,16901,14315
2009-01-03,3,16513,14092
2009-01-03,4,16707,14019
2009-01-03,5,16786,14118
2009-01-03,6,17019,14310
2009-01-03,7,17387,14796
2009-01-03,8,18050,15467
2009-01-03,9,17983,16125
2009-01-03,10,18154,16592
2009-01-03,11,19086,16937
2009-01-03,12,19440,17007
2009-01-03,13,19093,16975
2009-01-03,14,18960,16822
2009-01-03,15,18647,16609
