\\Hourly Demand Report,,,
\\Created at 2018-05-22 08:00:00,,,
\\For 2014,,,
Date,Hour,Market Demand,Ontario Demand
2014-01-01,1,18266,15862
2014-01-01,2,17705,15462
2014-01-01,3,17582,15182
2014-01-01,4,17311,14925
2014-01-01,5,17090,14807
2014-01-01,6,17029,14934
2014-01-01,7,17053,15246
2014-01-01,8,17044,15510
2014-01-01,9,17309,15675
2014-01-01,10,18117,16018
2014-01-01,11,18794,16479
2014-01-01,12,19299,16950
2014-01-01,13,19284,17048
2014-01-01,14,18776,17040
2014-01-01,15,18639,16957
2014-01-01,16,18683,17226
2014-01-01,17,20454,18112
2014-01-01,18,21673,19519
2014-01-01,19,21439,19406
2014-01-01,20,20756,18976
2014-01-01,21,20025,18685
2014-01-01,22,19772,18275
2014-01-01,23,19109,17480
2014-01-01,24,18263,16458
2014-01-02,1,18163,15778
2014-01-02,2,17909,15629
2014-01-02,3,18125,15524
2014-01-02,4,17973,15472
2014-01-02,5,18064,15730
2014-01-02,6,18944,16345
2014-01-02,7,20019,17659
2014-01-02,8,21422,18728
2014-01-02,9,22123,19438
2014-01-02,10,22641,19980
2014-01-02,11,23600,20440
2014-01-02,12,23543,20696
2014-01-02,13,23256,20718
2014-01-02,14,23277,20651
2014-01-02,15,23141,20576
2014-01-02,16,23224,20543
2014-01-02,17,23198,21276
2014-01-02,18,23851,22476
2014-01-02,19,23871,22320
2014-01-02,20,23809,21981
2014-01-02,21,23844,21933
2014-01-02,22,23288,21156
2014-01-02,23,22351,19946
2014-01-02,24,21053,18756
2014-01-03,1,20814,17878
2014-01-03,2,20339,17383
2014-01-03,3,20070,17163
2014-01-03,4,19944,17102
2014-01-03,5,20501,17165
2014-01-03,6,21012,17611
2014-01-03,7,21636,18647
2014-01-03,8,22161,19627
2014-01-03,9,22532,20002
2014-01-03,10,23491,20422
2014-01-03,11,23494,20428
2014-01-03,12,22864,20253
2014-01-03,13,22987,19992
2014-01-03,14,22814,19808
2014-01-03,15,22773,19590
2014-01-03,16,22517,19652
2014-01-03,17,23251,20447
2014-01-03,18,24387,21852
2014-01-03,19,24822,22113
2014-01-03,20,24717,21729
2014-01-03,21,24581,21268
2014-01-03,22,23757,20505
2014-01-03,23,22805,19249
2014-01-03,24,21788,17931
2014-01-04,1,20944,17011
2014-01-04,2,20777,16507
2014-01-04,3,20359,16043
2014-01-04,4,20194,15874
2014-01-04,5,20416,15853
2014-01-04,6,20436,16120
2014-01-04,7,20560,16344
2014-01-04,8,21181,16996
2014-01-04,9,21569,17411
2014-01-04,10,21504,17583
2014-01-04,11,21651,17929
2014-01-04,12,21816,17924
2014-01-04,13,21019,17827
2014-01-04,14,20775,17652
2014-01-04,15,20094,17584
2014-01-04,16,19785,17632
2014-01-04,17,21169,18466
2014-01-04,18,23027,19957
2014-01-04,19,22954,19699
2014-01-04,20,21672,18952
2014-01-04,21,20746,18604
2014-01-04,22,19980,17967
2014-01-04,23,19504,17153
2014-01-04,24,18581,16239
2014-01-05,1,18159,15497
2014-01-05,2,17168,14922
2014-01-05,3,16726,14692
2014-01-05,4,16402,14566
2014-01-05,5,16600,14538
2014-01-05,6,17028,14705
2014-01-05,7,16731,15055
2014-01-05,8,17232,15555
2014-01-05,9,17781,15983
2014-01-05,10,18524,16599
2014-01-05,11,19176,17255
2014-01-05,12,19601,17393
2014-01-05,13,19815,17535
2014-01-05,14,19877,17428
2014-01-05,15,19618,17357
2014-01-05,16,19999,17756
2014-01-05,17,20736,18691
2014-01-05,18,22399,20056
2014-01-05,19,22530,19888
2014-01-05,20,21621,19257
2014-01-05,21,20932,18853
2014-01-05,22,20182,18151
2014-01-05,23,18913,17090
2014-01-05,24,17688,16070
2014-01-06,1,16702,15471
2014-01-06,2,16890,14919
2014-01-06,3,16843,14672
2014-01-06,4,16970,14449
2014-01-06,5,17316,14649
2014-01-06,6,17642,15481
2014-01-06,7,18476,16692
2014-01-06,8,20204,18207
2014-01-06,9,20650,18478
2014-01-06,10,21046,18562
2014-01-06,11,21147,18762
2014-01-06,12,20963,18821
2014-01-06,13,20835,18760
2014-01-06,14,21303,18865
2014-01-06,15,21448,18982
2014-01-06,16,21695,19266
2014-01-06,17,22613,20263
2014-01-06,18,24279,21736
2014-01-06,19,24338,21834
2014-01-06,20,24205,21686
2014-01-06,21,23877,21356
2014-01-06,22,23146,20454
2014-01-06,23,22184,19328
2014-01-06,24,20638,18001
2014-01-07,1,20055,17347
2014-01-07,2,19697,16909
2014-01-07,3,19608,16786
2014-01-07,4,19655,16777
2014-01-07,5,19820,17042
2014-01-07,6,21081,17760
2014-01-07,7,22873,19030
2014-01-07,8,24186,20467
2014-01-07,9,24204,20767
2014-01-07,10,23245,20283
2014-01-07,11,23380,20515
2014-01-07,12,23494,20594
2014-01-07,13,23960,20647
2014-01-07,14,23849,20586
2014-01-07,15,23677,20373
2014-01-07,16,23833,20575
2014-01-07,17,24488,21390
2014-01-07,18,25798,22507
2014-01-07,19,25980,22774
2014-01-07,20,25777,22438
2014-01-07,21,25576,22120
2014-01-07,22,24082,21100
2014-01-07,23,23170,19966
2014-01-07,24,21434,18734
2014-01-08,1,20056,17675
