"Station Name","KINGSTON A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","44.23"
"Longitude","-76.60"
"Elevation","92.40"
"Climate Identifier","6104149"
"WMO Identifier",""
"TC Identifier","YGK"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-06-01 00:00","2019","06","01","00:00"
"2019-06-01 01:00","2019","06","01","01:00"
"2019-06-01 02:00","2019","06","01","02:00"
"2019-06-01 03:00","2019","06","01","03:00"
"2019-06-01 04:00","2019","06","01","04:00"
"2019-06-01 05:00","2019","06","01","05:00","10.4","","10.4","","100","","5","","11","","24.1","","99.81","","","","","","NA"
"2019-06-01 06:00","2019","06","01","06:00","11.1","","11.1","","100","","4","","11","","16.1","","99.80","","","","","","NA"
"2019-06-01 07:00","2019","06","01","07:00","12.8","","12.2","","96","","5","","14","","24.1","","99.79","","","","","","Cloudy"
"2019-06-01 08:00","2019","06","01","08:00","14.1","","12.1","","88","","5","","14","","24.1","","99.79","","","","","","NA"
"2019-06-01 09:00","2019","06","01","09:00","15.8","","11.5","","76","","8","","17","","24.1","","99.78","","","","","","NA"
"2019-06-01 10:00","2019","06","01","10:00","16.9","","11.1","","68","","10","","12","","24.1","","99.79","","","","","","Mostly Cloudy"
"2019-06-01 11:00","2019","06","01","11:00","16.9","","11.6","","70","","13","","9","","24.1","","99.77","","","","","","NA"
"2019-06-01 12:00","2019","06","01","12:00","17.9","","12.2","","69","","16","","11","","24.1","","99.76","","","","","","NA"
"2019-06-01 13:00","2019","06","01","13:00","19.7","","13.5","","67","","4","","12","","24.1","","99.69","","","","","","Cloudy"
"2019-06-01 14:00","2019","06","01","14:00","19.9","","13.0","","64","","13","","16","","24.1","","99.62","","","","","","NA"
"2019-06-01 15:00","2019","06","01","15:00","19.3","","13.4","","68","","18","","13","","24.1","","99.57","","","","","","NA"
"2019-06-01 16:00","2019","06","01","16:00","19.1","","13.1","","68","","17","","10","","24.1","","99.53","","","","","","Mostly Cloudy"
"2019-06-01 17:00","2019","06","01","17:00","17.9","","12.7","","72","","19","","8","","24.1","","99.51","","","","","","NA"
"2019-06-01 18:00","2019","06","01","18:00","16.8","","13.3","","80","","20","","12","","24.1","","99.53","","","","","","NA"
"2019-06-01 19:00","2019","06","01","19:00","15.7","","13.6","","87","","36","","2","","24.1","","99.56","","","","","","Mostly Cloudy"
"2019-06-01 20:00","2019","06","01","20:00","14.7","","13.6","","93","","7","","4","","24.1","","99.52","","","","","","NA"
"2019-06-01 21:00","2019","06","01","21:00","15.1","","14.0","","93","","36","","2","","24.1","","99.48","","","","","","NA"
"2019-06-01 22:00","2019","06","01","22:00","13.9","","12.9","","94","","19","","9","","24.1","","99.49","","","","","","Cloudy"
"2019-06-01 23:00","2019","06","01","23:00"
"2019-06-02 00:00","2019","06","02","00:00"
"2019-06-02 01:00","2019","06","02","01:00"
"2019-06-02 02:00","2019","06","02","02:00"
"2019-06-02 03:00","2019","06","02","03:00"
"2019-06-02 04:00","2019","06","02","04:00"
"2019-06-02 05:00","2019","06","02","05:00","13.2","","13.2","","100","","23","","18","","2.0","","99.31","","","","","","Fog"
"2019-06-02 06:00","2019","06","02","06:00","13.3","","13.3","","100","","24","","17","","1.2","","99.33","","","","","","Rain,Fog"
"2019-06-02 07:00","2019","06","02","07:00","13.1","","13.1","","100","","24","","14","","1.2","","99.32","","","","","","Rain,Fog"
"2019-06-02 08:00","2019","06","02","08:00","13.6","","13.6","","100","","23","","14","","1.6","","99.33","","","","","","Rain,Fog"
"2019-06-02 09:00","2019","06","02","09:00","14.0","","14.0","","100","","23","","13","","2.0","","99.32","","","","","","Rain,Fog"
"2019-06-02 10:00","2019","06","02","10:00","14.0","","14.0","","100","","25","","15","","4.0","","99.34","","","","","","Rain,Fog"
"2019-06-02 11:00","2019","06","02","11:00","13.9","","13.9","","100","","26","","18","","9.7","","99.35","","","","","","Rain,Fog"
"2019-06-02 12:00","2019","06","02","12:00","14.4","","14.0","","98","","25","","14","","19.3","","99.35","","","","","","NA"
"2019-06-02 13:00","2019","06","02","13:00","15.2","","14.5","","95","","23","","16","","24.1","","99.33","","","","","","Mostly Cloudy"
"2019-06-02 14:00","2019","06","02","14:00","16.7","","12.8","","77","","24","","22","","24.1","","99.32","","","","","","NA"
"2019-06-02 15:00","2019","06","02","15:00","17.6","","13.8","","78","","22","","18","","24.1","","99.30","","","","","","NA"
"2019-06-02 16:00","2019","06","02","16:00","18.6","","4.5","","39","","25","","25","","24.1","","99.26","","","","","","Mainly Clear"
"2019-06-02 17:00","2019","06","02","17:00","18.7","","0.9","","30","","28","","32","","24.1","","99.27","","","","","","NA"
"2019-06-02 18:00","2019","06","02","18:00","17.5","","-0.7","","29","","26","","35","","24.1","","99.31","","","","","","NA"
"2019-06-02 19:00","2019","06","02","19:00","15.7","","-1.7","","30","","27","","23","","24.1","","99.41","","","","","","Clear"
"2019-06-02 20:00","2019","06","02","20:00","14.3","","-2.4","","32","","26","","19","","24.1","","99.49","","","","","","NA"
"2019-06-02 21:00","2019","06","02","21:00","13.1","","-1.4","","36","","27","","20","","24.1","","99.58","","","","","","NA"
"2019-06-02 22:00","2019","06","02","22:00","11.6","","1.3","","49","","27","","17","","24.1","","99.59","","","","","","Clear"
"2019-06-02 23:00","2019","06","02","23:00"
"2019-06-03 00:00","2019","06","03","00:00"
"2019-06-03 01:00","2019","06","03","01:00"
"2019-06-03 02:00","2019","06","03","02:00"
"2019-06-03 03:00","2019","06","03","03:00"
"2019-06-03 04:00","2019","06","03","04:00"
"2019-06-03 05:00","2019","06","03","05:00","6.7","","3.7","","81","","28","","16","","24.1","","99.71","","","","","","NA"
"2019-06-03 06:00","2019","06","03","06:00","7.4","","4.7","","82","","27","","18","","24.1","","99.78","","","","","","NA"
"2019-06-03 07:00","2019","06","03","07:00","9.7","","4.0","","67","","28","","28","","24.1","","99.86","","","","","","Mainly Clear"
"2019-06-03 08:00","2019","06","03","08:00","10.2","","3.6","","63","","28","","28","","24.1","","99.93","","","","","","NA"
"2019-06-03 09:00","2019","06","03","09:00","9.9","","2.8","","61","","28","","30","","24.1","","100.01","","","","","","NA"
"2019-06-03 10:00","2019","06","03","10:00","8.8","","4.8","","76","","29","","26","","19.3","","100.11","","","","","","Rain"
"2019-06-03 11:00","2019","06","03","11:00","9.9","","5.2","","72","","26","","18","","24.1","","100.17","","","","","","NA"
"2019-06-03 12:00","2019","06","03","12:00","11.4","","3.6","","58","","26","","19","","24.1","","100.19","","","","","","NA"
"2019-06-03 13:00","2019","06","03","13:00","13.5","","2.3","","46","","26","","26","","24.1","","100.18","","","","","","Mostly Cloudy"
"2019-06-03 14:00","2019","06","03","14:00","15.0","","5.9","","54","","23","","24","","24.1","","100.14","","","","","","NA"
"2019-06-03 15:00","2019","06","03","15:00","14.6","","6.1","","56","","23","","33","","24.1","","100.17","","","","","","NA"
"2019-06-03 16:00","2019","06","03","16:00","16.1","","4.5","","46","","25","","27","","24.1","","100.20","","","","","","Mainly Clear"
"2019-06-03 17:00","2019","06","03","17:00","15.7","","3.5","","44","","25","","32","","24.1","","100.24","","","","","","NA"
"2019-06-03 18:00","2019","06","03","18:00","15.4","","3.5","","45","","25","","26","","24.1","","100.25","","","","","","NA"
"2019-06-03 19:00","2019","06","03","19:00","14.2","","3.6","","49","","26","","19","","24.1","","100.31","","","","","","Mainly Clear"
"2019-06-03 20:00","2019","06","03","20:00","12.8","","3.5","","53","","27","","18","","24.1","","100.38","","","","","","NA"
"2019-06-03 21:00","2019","06","03","21:00","11.8","","3.3","","56","","28","","17","","24.1","","100.47","","","","","","NA"
