"Station Name","KINGSTON A"
"Province","ONTARIO"
"Latitude","44.23"
"Longitude","-76.60"
"Elevation","92.40"
"Climate Identifier","6104149"
"WMO Identifier",""
"TC Identifier","YGK"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-09-01 00:00","2017","09","01","00:00"
"2017-09-01 01:00","2017","09","01","01:00"
"2017-09-01 02:00","2017","09","01","02:00"
"2017-09-01 03:00","2017","09","01","03:00"
"2017-09-01 04:00","2017","09","01","04:00"
"2017-09-01 05:00","2017","09","01","05:00","5.8","","5.0","","94","","34","","15","","24.1","","101.08","","","","","","NA"
"2017-09-01 06:00","2017","09","01","06:00","6.5","","5.4","","93","","33","","16","","24.1","","101.16","","","","","","NA"
"2017-09-01 07:00","2017","09","01","07:00","8.6","","6.0","","84","","33","","23","","24.1","","101.18","","","","","","Mainly Clear"
"2017-09-01 08:00","2017","09","01","08:00","10.3","","6.3","","76","","35","","21","","24.1","","101.23","","","","","","NA"
"2017-09-01 09:00","2017","09","01","09:00","12.2","","5.5","","64","","32","","25","","24.1","","101.21","","","","","","NA"
"2017-09-01 10:00","2017","09","01","10:00","13.8","","4.6","","53","","34","","19","","24.1","","101.22","","","","","","Mainly Clear"
"2017-09-01 11:00","2017","09","01","11:00","14.5","","5.7","","55","","36","","14","","24.1","","101.20","","","","","","NA"
"2017-09-01 12:00","2017","09","01","12:00","15.8","","4.1","","45","","36","","16","","24.1","","101.14","","","","","","NA"
"2017-09-01 13:00","2017","09","01","13:00","16.4","","4.8","","46","","1","","12","","24.1","","101.12","","","","","","Mainly Clear"
"2017-09-01 14:00","2017","09","01","14:00","17.2","","3.8","","40","","29","","9","","24.1","","101.07","","","","","","NA"
"2017-09-01 15:00","2017","09","01","15:00","17.8","","3.7","","39","","30","","14","","24.1","","101.06","","","","","","NA"
"2017-09-01 16:00","2017","09","01","16:00","18.0","","3.7","","38","","34","","14","","24.1","","101.05","","","","","","Mainly Clear"
