"Station Name","ST CATHARINES A"
"Province","ONTARIO"
"Latitude","43.20"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137287"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-01-01 00:00","2010","01","01","00:00"
"2010-01-01 01:00","2010","01","01","01:00"
"2010-01-01 02:00","2010","01","01","02:00"
"2010-01-01 03:00","2010","01","01","03:00"
"2010-01-01 04:00","2010","01","01","04:00"
"2010-01-01 05:00","2010","01","01","05:00"
"2010-01-01 06:00","2010","01","01","06:00"
"2010-01-01 07:00","2010","01","01","07:00","0.7","","-1.3","","86","","27","","9","","19.3","","100.18","","","","","","Cloudy"
"2010-01-01 08:00","2010","01","01","08:00","0.2","","-1.9","","86","","26","","19","","12.9","","100.19","","","","","","Cloudy"
"2010-01-01 09:00","2010","01","01","09:00","-1.2","","-3.2","","86","","27","","19","","6.4","","100.24","","","","-7","","Snow"
"2010-01-01 10:00","2010","01","01","10:00","-2.1","","-3.7","","89","","28","","19","","4.8","","100.28","","","","-8","","Snow"
"2010-01-01 11:00","2010","01","01","11:00","-1.2","","-4.1","","81","","26","","9","","9.7","","100.21","","","","-4","","Snow"
"2010-01-01 12:00","2010","01","01","12:00","-2.8","","-6.0","","79","","28","","22","","9.7","","100.17","","","","-9","","Snow"
"2010-01-01 13:00","2010","01","01","13:00","-2.9","","-5.6","","82","","25","","19","","6.4","","100.13","","","","-9","","Snow"
"2010-01-01 14:00","2010","01","01","14:00","-2.8","","-4.9","","85","","25","","19","","4.8","","100.11","","","","-9","","Snow"
"2010-01-01 15:00","2010","01","01","15:00","-1.9","","-4.9","","80","","27","","13","","6.4","","100.11","","","","-6","","Snow"
"2010-01-01 16:00","2010","01","01","16:00","-2.0","","-5.5","","77","","26","","19","","19.3","","100.11","","","","-8","","Snow"
"2010-01-01 17:00","2010","01","01","17:00","-2.5","","-5.1","","82","","25","","19","","3.2","","100.14","","","","-8","","Snow"
"2010-01-01 18:00","2010","01","01","18:00","-2.6","","-4.1","","89","","31","","22","","6.4","","100.13","","","","-9","","Snow"
"2010-01-01 19:00","2010","01","01","19:00","-3.2","","-6.9","","76","","30","","22","","6.4","","100.17","","","","-10","","Snow"
"2010-01-01 20:00","2010","01","01","20:00","-4.2","","-8.8","","70","","30","","19","","9.7","","100.22","","","","-10","","Snow"
"2010-01-01 21:00","2010","01","01","21:00","-4.7","","-8.9","","72","","29","","22","","24.1","","100.25","","","","-12","","Mostly Cloudy"
"2010-01-01 22:00","2010","01","01","22:00"
"2010-01-01 23:00","2010","01","01","23:00"
"2010-01-02 00:00","2010","01","02","00:00"
"2010-01-02 01:00","2010","01","02","01:00"
"2010-01-02 02:00","2010","01","02","02:00"
"2010-01-02 03:00","2010","01","02","03:00"
"2010-01-02 04:00","2010","01","02","04:00"
"2010-01-02 05:00","2010","01","02","05:00"
"2010-01-02 06:00","2010","01","02","06:00"
"2010-01-02 07:00","2010","01","02","07:00","-10.5","","-13.7","","77","","32","","19","","8.0","","100.46","","","","-18","","Snow"
"2010-01-02 08:00","2010","01","02","08:00","-11.2","","-16.2","","67","","31","","22","","12.9","","100.49","","","","-20","","Snow"
"2010-01-02 09:00","2010","01","02","09:00","-11.6","","-16.3","","68","","33","","19","","12.9","","100.53","","","","-20","","Mostly Cloudy"
"2010-01-02 10:00","2010","01","02","10:00","-11.5","","-14.7","","77","","33","","22","","6.4","","100.59","","","","-20","","Snow"
"2010-01-02 11:00","2010","01","02","11:00","-11.1","","-15.1","","72","","32","","19","","6.4","","100.57","","","","-19","","Snow"
"2010-01-02 12:00","2010","01","02","12:00","-11.4","","-13.8","","82","","31","","9","","1.6","","100.53","","","","-17","","Snow"
"2010-01-02 13:00","2010","01","02","13:00","-10.7","","-13.2","","82","","33","","9","","2.4","","100.48","","","","-16","","Snow"
"2010-01-02 14:00","2010","01","02","14:00","-10.5","","-13.2","","81","","30","","22","","4.0","","100.46","","","","-19","","Snow"
