"Station Name","ST CATHARINES A"
"Province","ONTARIO"
"Latitude","43.20"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137287"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2009-03-01 00:00","2009","03","01","00:00"
"2009-03-01 01:00","2009","03","01","01:00"
"2009-03-01 02:00","2009","03","01","02:00"
"2009-03-01 03:00","2009","03","01","03:00"
"2009-03-01 04:00","2009","03","01","04:00"
"2009-03-01 05:00","2009","03","01","05:00"
"2009-03-01 06:00","2009","03","01","06:00"
"2009-03-01 07:00","2009","03","01","07:00","-7.8","","-10.1","","84","","9","","9","","24.1","","101.19","","","","-12","","Snow Showers"
"2009-03-01 08:00","2009","03","01","08:00","-6.9","","-9.8","","80","","9","","15","","24.1","","101.25","","","","-13","","Mostly Cloudy"
"2009-03-01 09:00","2009","03","01","09:00","-6.4","","-9.0","","82","","9","","15","","12.9","","101.28","","","","-12","","Snow Showers"
"2009-03-01 10:00","2009","03","01","10:00","-6.3","","-8.4","","85","","3","","19","","8.0","","101.28","","","","-13","","Snow Showers"
"2009-03-01 11:00","2009","03","01","11:00","-6.1","","-10.0","","74","","3","","19","","24.1","","101.31","","","","-13","","Snow Showers"
"2009-03-01 12:00","2009","03","01","12:00","-5.1","","-11.2","","62","","36","","11","","24.1","","101.34","","","","-10","","Mainly Clear"
"2009-03-01 13:00","2009","03","01","13:00","-4.8","","-12.1","","57","","3","","19","","24.1","","101.35","","","","-11","","Mainly Clear"
"2009-03-01 14:00","2009","03","01","14:00","-5.2","","-13.3","","53","","2","","19","","24.1","","101.27","","","","-12","","Mainly Clear"
"2009-03-01 15:00","2009","03","01","15:00","-4.1","","-12.0","","54","","36","","22","","24.1","","101.27","","","","-11","","Mostly Cloudy"
"2009-03-01 16:00","2009","03","01","16:00","-4.5","","-12.3","","54","","35","","19","","24.1","","101.39","","","","-11","","Mainly Clear"
