"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-04-01 00:00","2016","04","01","00:00"
"2016-04-01 01:00","2016","04","01","01:00"
"2016-04-01 02:00","2016","04","01","02:00"
"2016-04-01 03:00","2016","04","01","03:00"
"2016-04-01 04:00","2016","04","01","04:00"
"2016-04-01 05:00","2016","04","01","05:00"
"2016-04-01 06:00","2016","04","01","06:00","11.5","","8.9","","84","","23","","15","","16.1","","98.67","","","","","","NA"
"2016-04-01 07:00","2016","04","01","07:00","10.6","","8.7","","88","","23","","14","","24.1","","98.72","","","","","","Mostly Cloudy"
"2016-04-01 08:00","2016","04","01","08:00","10.8","","8.2","","84","","21","","19","","24.1","","98.78","","","","","","NA"
"2016-04-01 09:00","2016","04","01","09:00","12.8","","9.1","","78","","26","","23","","24.1","","98.78","","","","","","NA"
"2016-04-01 10:00","2016","04","01","10:00","10.0","","6.2","","77","","30","","20","","24.1","","98.80","","","","","","Mostly Cloudy"
"2016-04-01 11:00","2016","04","01","11:00","8.3","","5.1","","80","","29","","33","","24.1","","98.86","","","","","","NA"
"2016-04-01 12:00","2016","04","01","12:00","7.5","","4.3","","80","","28","","30","","24.1","","98.95","","","","","","NA"
"2016-04-01 13:00","2016","04","01","13:00","7.6","","4.4","","80","","29","","21","","24.1","","99.07","","","","","","Cloudy"
"2016-04-01 14:00","2016","04","01","14:00","8.5","","4.0","","73","","26","","30","","24.1","","99.10","","","","","","NA"
"2016-04-01 15:00","2016","04","01","15:00","6.8","","1.9","","71","","29","","27","","24.1","","99.09","","","","","","NA"
"2016-04-01 16:00","2016","04","01","16:00","6.7","","0.6","","65","","29","","29","","24.1","","99.21","","","","","","Mostly Cloudy"
"2016-04-01 17:00","2016","04","01","17:00","6.9","","0.1","","62","","29","","25","","24.1","","99.29","","","","","","NA"
"2016-04-01 18:00","2016","04","01","18:00","6.5","","0.0","","63","","29","","23","","24.1","","99.37","","","","","","NA"
"2016-04-01 19:00","2016","04","01","19:00","6.0","","0.1","","66","","25","","11","","24.1","","99.40","","","","","","Mostly Cloudy"
"2016-04-01 20:00","2016","04","01","20:00","5.0","","0.2","","71","","25","","5","","24.1","","99.44","","","","","","NA"
"2016-04-01 21:00","2016","04","01","21:00"
"2016-04-01 22:00","2016","04","01","22:00"
"2016-04-01 23:00","2016","04","01","23:00"
"2016-04-02 00:00","2016","04","02","00:00"
"2016-04-02 01:00","2016","04","02","01:00"
"2016-04-02 02:00","2016","04","02","02:00"
"2016-04-02 03:00","2016","04","02","03:00"
"2016-04-02 04:00","2016","04","02","04:00"
"2016-04-02 05:00","2016","04","02","05:00"
"2016-04-02 06:00","2016","04","02","06:00","3.6","","1.0","","83","","29","","26","","9.7","","98.86","","","","","","Rain"
"2016-04-02 07:00","2016","04","02","07:00","1.2","","-0.3","","90","","28","","18","","24.1","","98.94","","","","","","Cloudy"
"2016-04-02 08:00","2016","04","02","08:00","2.2","","-1.2","","78","","27","","22","","24.1","","98.96","","","","","","NA"
