"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-04-01 00:00","2018","04","01","00:00"
"2018-04-01 01:00","2018","04","01","01:00"
"2018-04-01 02:00","2018","04","01","02:00"
"2018-04-01 03:00","2018","04","01","03:00"
"2018-04-01 04:00","2018","04","01","04:00"
"2018-04-01 05:00","2018","04","01","05:00"
"2018-04-01 06:00","2018","04","01","06:00","-1.1","","-7.1","","64","","32","","28","","24.1","","100.68","","","","-8","","NA"
"2018-04-01 07:00","2018","04","01","07:00","-1.4","","-8.6","","58","","31","","28","","24.1","","100.75","","","","-8","","Mostly Cloudy"
"2018-04-01 08:00","2018","04","01","08:00","-1.1","","-7.9","","60","","29","","19","","24.1","","100.84","","","","-6","","NA"
"2018-04-01 09:00","2018","04","01","09:00","-0.4","","-8.6","","54","","26","","26","","24.1","","100.90","","","","-7","","NA"
"2018-04-01 10:00","2018","04","01","10:00","-0.1","","-8.1","","55","","29","","14","","24.1","","100.96","","","","-4","","Mainly Clear"
"2018-04-01 11:00","2018","04","01","11:00","0.7","","-8.9","","49","","27","","24","","24.1","","100.97","","","","","","NA"
"2018-04-01 12:00","2018","04","01","12:00","2.0","","-7.1","","51","","29","","20","","24.1","","100.93","","","","","","NA"
"2018-04-01 13:00","2018","04","01","13:00","2.4","","-8.2","","46","","28","","19","","24.1","","100.90","","","","","","Mainly Clear"
"2018-04-01 14:00","2018","04","01","14:00","2.7","","-6.7","","50","","31","","20","","24.1","","100.85","","","","","","NA"
"2018-04-01 15:00","2018","04","01","15:00","2.2","","-7.8","","47","","29","","19","","24.1","","100.83","","","","","","NA"
"2018-04-01 16:00","2018","04","01","16:00","2.3","","-7.2","","50","","30","","16","","24.1","","100.83","","","","","","Cloudy"
"2018-04-01 17:00","2018","04","01","17:00","2.3","","-7.6","","48","","27","","17","","24.1","","100.84","","","","","","NA"
"2018-04-01 18:00","2018","04","01","18:00","1.8","","-8.1","","48","","27","","19","","24.1","","100.85","","","","","","NA"
"2018-04-01 19:00","2018","04","01","19:00","0.8","","-8.2","","51","","26","","13","","24.1","","100.81","","","","","","Cloudy"
"2018-04-01 20:00","2018","04","01","20:00","-0.3","","-4.5","","73","","21","","12","","24.1","","100.82","","","","-4","","NA"
"2018-04-01 21:00","2018","04","01","21:00"
"2018-04-01 22:00","2018","04","01","22:00"
"2018-04-01 23:00","2018","04","01","23:00"
"2018-04-02 00:00","2018","04","02","00:00"
"2018-04-02 01:00","2018","04","02","01:00"
"2018-04-02 02:00","2018","04","02","02:00"
"2018-04-02 03:00","2018","04","02","03:00"
"2018-04-02 04:00","2018","04","02","04:00"
"2018-04-02 05:00","2018","04","02","05:00"
"2018-04-02 06:00","2018","04","02","06:00","-2.6","","-5.3","","82","","16","","7","","19.3","","100.72","","","","-5","","NA"
"2018-04-02 07:00","2018","04","02","07:00","-1.9","","-4.1","","84","","19","","7","","24.1","","100.74","","","","-5","","Clear"
"2018-04-02 08:00","2018","04","02","08:00","1.2","","-3.5","","71","","20","","11","","24.1","","100.80","","","","","","NA"
"2018-04-02 09:00","2018","04","02","09:00","2.6","","-3.1","","66","","26","","19","","24.1","","100.82","","","","","","NA"
"2018-04-02 10:00","2018","04","02","10:00","2.2","","-2.5","","71","","31","","10","","24.1","","100.85","","","","","","Mainly Clear"
"2018-04-02 11:00","2018","04","02","11:00","2.9","","-2.9","","66","","29","","15","","24.1","","100.84","","","","","","NA"
"2018-04-02 12:00","2018","04","02","12:00","3.9","","-2.7","","62","","30","","13","","24.1","","100.80","","","","","","NA"
"2018-04-02 13:00","2018","04","02","13:00","5.0","","-2.9","","57","","33","","16","","24.1","","100.73","","","","","","Mostly Cloudy"
"2018-04-02 14:00","2018","04","02","14:00","5.9","","-3.2","","52","","32","","14","","24.1","","100.73","","","","","","NA"
"2018-04-02 15:00","2018","04","02","15:00","5.9","","-6.4","","41","","27","","6","","24.1","","100.64","","","","","","NA"
"2018-04-02 16:00","2018","04","02","16:00","5.0","","-4.2","","51","","21","","26","","24.1","","100.70","","","","","","Mostly Cloudy"
"2018-04-02 17:00","2018","04","02","17:00","4.7","","-5.3","","49","","23","","17","","24.1","","100.73","","","","","","NA"
"2018-04-02 18:00","2018","04","02","18:00","4.1","","-5.8","","48","","22","","13","","24.1","","100.68","","","","","","NA"
"2018-04-02 19:00","2018","04","02","19:00","3.1","","-6.0","","51","","22","","9","","24.1","","100.68","","","","","","Cloudy"
"2018-04-02 20:00","2018","04","02","20:00","2.6","","-6.4","","52","","21","","11","","24.1","","100.71","","","","","","NA"
"2018-04-02 21:00","2018","04","02","21:00"
"2018-04-02 22:00","2018","04","02","22:00"
"2018-04-02 23:00","2018","04","02","23:00"
"2018-04-03 00:00","2018","04","03","00:00"
"2018-04-03 01:00","2018","04","03","01:00"
"2018-04-03 02:00","2018","04","03","02:00"
"2018-04-03 03:00","2018","04","03","03:00"
"2018-04-03 04:00","2018","04","03","04:00"
"2018-04-03 05:00","2018","04","03","05:00"
"2018-04-03 06:00","2018","04","03","06:00","1.9","","-3.8","","66","","9","","16","","24.1","","100.31","","","","","","NA"
"2018-04-03 07:00","2018","04","03","07:00","2.8","","-3.9","","62","","7","","16","","24.1","","100.29","","","","","","Cloudy"
"2018-04-03 08:00","2018","04","03","08:00","3.4","","-5.3","","53","","6","","17","","24.1","","100.28","","","","","","NA"
"2018-04-03 09:00","2018","04","03","09:00","3.9","","-6.0","","48","","8","","17","","24.1","","100.21","","","","","","NA"
