"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-10-01 00:00","2018","10","01","00:00"
"2018-10-01 01:00","2018","10","01","01:00"
"2018-10-01 02:00","2018","10","01","02:00"
"2018-10-01 03:00","2018","10","01","03:00"
"2018-10-01 04:00","2018","10","01","04:00"
"2018-10-01 05:00","2018","10","01","05:00"
"2018-10-01 06:00","2018","10","01","06:00","11.6","","11.6","","100","","7","","19","","19.3","","101.40","","","","","","NA"
"2018-10-01 07:00","2018","10","01","07:00","11.3","","11.3","","100","","8","","21","","9.7","","101.38","","","","","","Rain,Fog"
"2018-10-01 08:00","2018","10","01","08:00","11.2","","11.2","","100","","6","","14","","9.7","","101.48","","","","","","Rain,Fog"
"2018-10-01 09:00","2018","10","01","09:00","11.5","","11.5","","100","","5","","13","","19.3","","101.57","","","","","","Rain"
"2018-10-01 10:00","2018","10","01","10:00","11.6","","11.5","","99","","8","","26","","12.9","","101.51","","","","","","Rain"
"2018-10-01 11:00","2018","10","01","11:00","11.2","","10.2","","93","","6","","27","","24.1","","101.52","","","","","","NA"
"2018-10-01 12:00","2018","10","01","12:00","11.1","","9.8","","92","","7","","18","","24.1","","101.57","","","","","","NA"
"2018-10-01 13:00","2018","10","01","13:00","11.0","","9.5","","90","","7","","22","","24.1","","101.54","","","","","","Cloudy"
"2018-10-01 14:00","2018","10","01","14:00","11.0","","9.6","","91","","7","","29","","24.1","","101.47","","","","","","NA"
"2018-10-01 15:00","2018","10","01","15:00","10.9","","10.1","","95","","7","","22","","8.1","","101.41","","","","","","Rain,Fog"
"2018-10-01 16:00","2018","10","01","16:00","10.3","","10.3","","100","","6","","18","","4.8","","101.41","","","","","","Rain,Fog"
"2018-10-01 17:00","2018","10","01","17:00","10.5","","10.5","","100","","9","","13","","3.2","","101.34","","","","","","Rain,Fog"
"2018-10-01 18:00","2018","10","01","18:00","10.6","","10.6","","100","","8","","15","","6.4","","101.30","","","","","","Rain,Fog"
"2018-10-01 19:00","2018","10","01","19:00","10.7","","10.7","","100","","10","","24","","24.1","","101.16","","","","","","Cloudy"
"2018-10-01 20:00","2018","10","01","20:00","11.0","","11.0","","100","","8","","9","","24.1","","101.17","","","","","","NA"
"2018-10-01 21:00","2018","10","01","21:00"
"2018-10-01 22:00","2018","10","01","22:00"
"2018-10-01 23:00","2018","10","01","23:00"
"2018-10-02 00:00","2018","10","02","00:00"
"2018-10-02 01:00","2018","10","02","01:00"
"2018-10-02 02:00","2018","10","02","02:00"
"2018-10-02 03:00","2018","10","02","03:00"
"2018-10-02 04:00","2018","10","02","04:00"
"2018-10-02 05:00","2018","10","02","05:00"
"2018-10-02 06:00","2018","10","02","06:00","12.1","","12.1","","100","","36","","1","","9.7","","100.53","","","","","","Rain,Fog"
"2018-10-02 07:00","2018","10","02","07:00","12.3","","12.3","","100","","0","","1","","6.4","","100.54","","","","","","Rain,Fog"
"2018-10-02 08:00","2018","10","02","08:00","12.6","","12.6","","100","","17","","5","","6.4","","100.51","","","","","","Rain,Fog"
"2018-10-02 09:00","2018","10","02","09:00","13.5","","13.5","","100","","36","","3","","8.1","","100.50","","","","","","Fog"
"2018-10-02 10:00","2018","10","02","10:00","14.8","","14.8","","100","","12","","3","","8.1","","100.43","","","","","","Fog"
"2018-10-02 11:00","2018","10","02","11:00","15.4","","15.4","","100","","1","","7","","8.1","","100.40","","","","","","Fog"
"2018-10-02 12:00","2018","10","02","12:00","16.5","","16.5","","100","","7","","6","","6.4","","100.34","","","","","","Rain,Fog"
"2018-10-02 13:00","2018","10","02","13:00","16.7","","16.7","","100","","9","","8","","4.8","","100.21","","","","","","Rain,Fog"
"2018-10-02 14:00","2018","10","02","14:00","16.5","","16.5","","100","","2","","5","","4.8","","100.15","","","","","","Rain,Fog"
