"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-01 00:00","2013","12","01","00:00"
"2013-12-01 01:00","2013","12","01","01:00"
"2013-12-01 02:00","2013","12","01","02:00"
"2013-12-01 03:00","2013","12","01","03:00"
"2013-12-01 04:00","2013","12","01","04:00"
"2013-12-01 05:00","2013","12","01","05:00"
"2013-12-01 06:00","2013","12","01","06:00"
"2013-12-01 07:00","2013","12","01","07:00","2.3","","-0.5","","82","","19","","19","","24.1","","100.62","","","","","","Mostly Cloudy"
"2013-12-01 08:00","2013","12","01","08:00","2.6","","-0.3","","81","","20","","16","","19.3","","100.64","","","","","","NA"
"2013-12-01 09:00","2013","12","01","09:00","2.8","","-0.1","","81","","18","","12","","19.3","","100.59","","","","","","NA"
"2013-12-01 10:00","2013","12","01","10:00","3.5","","0.0","","78","","18","","16","","19.3","","100.56","","","","","","Cloudy"
"2013-12-01 11:00","2013","12","01","11:00","3.3","","-0.2","","78","","18","","15","","19.3","","100.52","","","","","","NA"
"2013-12-01 12:00","2013","12","01","12:00","3.8","","0.0","","76","","20","","10","","19.3","","100.48","","","","","","Rain Showers"
"2013-12-01 13:00","2013","12","01","13:00","3.8","","0.7","","80","","20","","12","","12.9","","100.45","","","","","","Rain Showers"
"2013-12-01 14:00","2013","12","01","14:00","3.7","","1.7","","87","","21","","9","","16.1","","100.39","","","","","","Rain Showers"
"2013-12-01 15:00","2013","12","01","15:00","3.4","","1.9","","90","","16","","9","","16.1","","100.34","","","","","","Rain"
"2013-12-01 16:00","2013","12","01","16:00","3.5","","1.9","","89","","15","","5","","16.1","","100.35","","","","","","Rain"
"2013-12-01 17:00","2013","12","01","17:00","3.1","","1.5","","89","","17","","10","","12.9","","100.34","","","","","","NA"
"2013-12-01 18:00","2013","12","01","18:00","2.7","","0.9","","88","","18","","9","","16.1","","100.33","","","","","","NA"
"2013-12-01 19:00","2013","12","01","19:00","2.6","","0.7","","87","","19","","9","","16.1","","100.34","","","","","","Cloudy"
"2013-12-01 20:00","2013","12","01","20:00","3.1","","0.8","","85","","20","","8","","16.1","","100.32","","","","","","NA"
"2013-12-01 21:00","2013","12","01","21:00","2.5","","0.9","","89","","18","","8","","16.1","","100.27","","","","","","NA"
"2013-12-01 22:00","2013","12","01","22:00"
"2013-12-01 23:00","2013","12","01","23:00"
"2013-12-02 00:00","2013","12","02","00:00"
"2013-12-02 01:00","2013","12","02","01:00"
"2013-12-02 02:00","2013","12","02","02:00"
"2013-12-02 03:00","2013","12","02","03:00"
"2013-12-02 04:00","2013","12","02","04:00"
"2013-12-02 05:00","2013","12","02","05:00"
"2013-12-02 06:00","2013","12","02","06:00"
"2013-12-02 07:00","2013","12","02","07:00","0.7","","0.3","","97","","22","","6","","4.8","","100.09","","","","","","Fog"
"2013-12-02 08:00","2013","12","02","08:00","0.9","","0.6","","98","","24","","9","","4.0","","100.11","","","","","","Fog"
"2013-12-02 09:00","2013","12","02","09:00","1.8","","0.9","","94","","29","","13","","4.0","","100.09","","","","","","Fog"
"2013-12-02 10:00","2013","12","02","10:00","1.9","","0.9","","93","","22","","6","","4.8","","100.11","","","","","","Fog"
"2013-12-02 11:00","2013","12","02","11:00","2.1","","0.9","","92","","25","","8","","4.0","","100.11","","","","","","Fog"
"2013-12-02 12:00","2013","12","02","12:00","2.3","","0.8","","90","","26","","13","","4.0","","100.06","","","","","","Fog"
"2013-12-02 13:00","2013","12","02","13:00","2.4","","0.9","","90","","27","","9","","4.8","","100.02","","","","","","Fog"
"2013-12-02 14:00","2013","12","02","14:00","2.3","","1.0","","91","","27","","8","","11.3","","100.01","","","","","","NA"
"2013-12-02 15:00","2013","12","02","15:00","2.3","","-0.3","","83","","29","","10","","14.5","","100.00","","","","","","NA"
