"Station Name","KILLARNEY (AUT)"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","45.97"
"Longitude","-81.48"
"Elevation","196.30"
"Climate Identifier","605DJ25"
"WMO Identifier","71460"
"TC Identifier","WBE"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-01-01 00:00","2019","01","01","00:00","-1.3","","-2.0","","95","","2","","14","","","","98.05","","","","-6","","NA"
"2019-01-01 01:00","2019","01","01","01:00","-1.7","","-2.3","","95","","36","","17","","","","98.11","","","","-7","","NA"
"2019-01-01 02:00","2019","01","01","02:00","-6.0","","-6.9","","93","","36","","21","","","","98.27","","","","-13","","NA"
"2019-01-01 03:00","2019","01","01","03:00","-8.2","","-9.4","","91","","36","","26","","","","98.53","","","","-17","","NA"
"2019-01-01 04:00","2019","01","01","04:00","-9.2","","-10.7","","89","","36","","26","","","","98.74","","","","-18","","NA"
"2019-01-01 05:00","2019","01","01","05:00","-10.3","","-12.5","","84","","1","","14","","","","98.95","","","","-17","","NA"
"2019-01-01 06:00","2019","01","01","06:00","-11.2","","-13.9","","80","","36","","16","","","","99.18","","","","-18","","NA"
"2019-01-01 07:00","2019","01","01","07:00","-12.9","","-16.5","","75","","34","","9","","","","99.53","","","","-18","","NA"
"2019-01-01 08:00","2019","01","01","08:00","-14.1","","-18.9","","67","","1","","8","","","","99.74","","","","-19","","NA"
"2019-01-01 09:00","2019","01","01","09:00","-14.9","","-20.0","","65","","36","","17","","","","99.92","","","","-23","","NA"
"2019-01-01 10:00","2019","01","01","10:00","-15.4","","-21.3","","61","","2","","14","","","","100.00","","","","-23","","NA"
"2019-01-01 11:00","2019","01","01","11:00","-14.7","","-21.8","","55","","35","","12","","","","100.16","","","","-22","","NA"
"2019-01-01 12:00","2019","01","01","12:00","-14.4","","-21.2","","56","","36","","10","","","","100.10","","","","-21","","NA"
"2019-01-01 13:00","2019","01","01","13:00","-14.4","","-21.8","","53","","33","","13","","","","100.18","","","","-22","","NA"
"2019-01-01 14:00","2019","01","01","14:00","-14.0","","-20.9","","56","","32","","12","","","","100.28","","","","-21","","NA"
"2019-01-01 15:00","2019","01","01","15:00","-13.5","","-19.2","","62","","31","","9","","","","100.36","","","","-19","","NA"
"2019-01-01 16:00","2019","01","01","16:00","-13.7","","-19.7","","61","","33","","9","","","","100.35","","","","-19","","NA"
"2019-01-01 17:00","2019","01","01","17:00","-14.5","","-20.4","","61","","35","","5","","","","100.33","","","","-18","","NA"
"2019-01-01 18:00","2019","01","01","18:00","-14.8","","-20.6","","61","","33","","1","","","","100.37","","","","-16","","NA"
"2019-01-01 19:00","2019","01","01","19:00","-16.1","","-20.7","","68","","36","","7","","","","100.39","","","","-21","","NA"
"2019-01-01 20:00","2019","01","01","20:00","-15.3","","-20.8","","63","","3","","6","","","","100.41","","","","-20","","NA"
"2019-01-01 21:00","2019","01","01","21:00","-15.7","","-19.8","","71","","1","","4","","","","100.47","","","","-19","","NA"
"2019-01-01 22:00","2019","01","01","22:00","-16.1","","-20.5","","68","","36","","6","","","","100.44","","","","-21","","NA"
"2019-01-01 23:00","2019","01","01","23:00","-14.6","","-20.7","","60","","36","","3","","","","100.37","","","","-17","","NA"
"2019-01-02 00:00","2019","01","02","00:00","-15.0","","-20.5","","63","","4","","4","","","","100.36","","","","-18","","NA"
"2019-01-02 01:00","2019","01","02","01:00","-13.9","","-17.6","","73","","6","","1","","","","100.40","","","","-15","","NA"
"2019-01-02 02:00","2019","01","02","02:00","-15.0","","-19.4","","69","","1","","5","","","","100.46","","","","-19","","NA"
