"Station Name","KILLARNEY (AUT)"
"Province","ONTARIO"
"Latitude","45.97"
"Longitude","-81.48"
"Elevation","196.30"
"Climate Identifier","605DJ25"
"WMO Identifier","71460"
"TC Identifier","WBE"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","2.2","","1.5","","95","","7","","12","","","","98.22","","","","","","NA"
"2017-03-01 01:00","2017","03","01","01:00","2.5","","1.8","","95","","5","","9","","","","98.12","","","","","","NA"
"2017-03-01 02:00","2017","03","01","02:00","3.2","","2.5","","95","","5","","8","","","","98.01","","","","","","NA"
"2017-03-01 03:00","2017","03","01","03:00","2.7","","2.0","","95","","6","","9","","","","97.94","","","","","","NA"
"2017-03-01 04:00","2017","03","01","04:00","3.1","","1.6","","90","","4","","14","","","","97.77","","","","","","NA"
"2017-03-01 05:00","2017","03","01","05:00","2.5","","0.9","","89","","4","","16","","","","97.71","","","","","","NA"
"2017-03-01 06:00","2017","03","01","06:00","2.0","","0.4","","89","","3","","15","","","","97.72","","","","","","NA"
"2017-03-01 07:00","2017","03","01","07:00","0.3","","-1.2","","89","","2","","15","","","","97.66","","","","","","NA"
"2017-03-01 08:00","2017","03","01","08:00","-2.1","","-4.0","","87","","4","","18","","","","97.54","","","","-8","","NA"
"2017-03-01 09:00","2017","03","01","09:00","-3.8","","-5.8","","86","","3","","19","","","","97.54","","","","-10","","NA"
"2017-03-01 10:00","2017","03","01","10:00","-4.7","","-6.9","","85","","2","","18","","","","97.47","","","","-11","","NA"
"2017-03-01 11:00","2017","03","01","11:00","-5.1","","-7.6","","83","","2","","18","","","","97.29","","","","-11","","NA"
"2017-03-01 12:00","2017","03","01","12:00","-6.1","","-8.9","","81","","2","","20","","","","97.36","","","","-13","","NA"
"2017-03-01 13:00","2017","03","01","13:00","-7.2","","-9.6","","83","","1","","19","","","","97.46","","","","-14","","NA"
"2017-03-01 14:00","2017","03","01","14:00","-8.6","","-11.3","","81","","1","","27","","","","97.41","","","","-17","","NA"
"2017-03-01 15:00","2017","03","01","15:00","-9.2","","-11.3","","85","","3","","30","","","","97.32","","","","-18","","NA"
"2017-03-01 16:00","2017","03","01","16:00","-8.6","","-10.4","","87","","3","","22","","","","97.31","","","","-16","","NA"
"2017-03-01 17:00","2017","03","01","17:00","-8.8","","-10.8","","86","","2","","24","","","","97.35","","","","-17","","NA"
"2017-03-01 18:00","2017","03","01","18:00","-9.5","","-12.1","","82","","1","","19","","","","97.43","","","","-17","","NA"
"2017-03-01 19:00","2017","03","01","19:00","-10.4","","-13.3","","79","","1","","24","","","","97.57","","","","-19","","NA"
"2017-03-01 20:00","2017","03","01","20:00","-10.8","","-13.3","","82","","36","","31","","","","97.64","","","","-21","","NA"
"2017-03-01 21:00","2017","03","01","21:00","-11.6","","-13.9","","83","","36","","24","","","","97.79","","","","-21","","NA"
"2017-03-01 22:00","2017","03","01","22:00","-12.0","","-14.6","","81","","34","","14","","","","97.94","","","","-19","","NA"
"2017-03-01 23:00","2017","03","01","23:00","-12.8","","-15.7","","79","","33","","23","","","","98.12","","","","-22","","NA"
"2017-03-02 00:00","2017","03","02","00:00","-13.4","","-16.5","","77","","33","","21","","","","98.27","","","","-22","","NA"
"2017-03-02 01:00","2017","03","02","01:00","-13.2","","-18.2","","66","","32","","20","","","","98.42","","","","-22","","NA"
"2017-03-02 02:00","2017","03","02","02:00","-13.7","","-19.1","","63","","33","","18","","","","98.60","","","","-22","","NA"
"2017-03-02 03:00","2017","03","02","03:00","-14.3","","-20.0","","62","","32","","25","","","","98.75","","","","-24","","NA"
"2017-03-02 04:00","2017","03","02","04:00","-15.1","","-20.4","","64","","33","","25","","","","98.85","","","","-25","","NA"
"2017-03-02 05:00","2017","03","02","05:00","-15.7","","-21.4","","62","","34","","24","","","","98.95","","","","-26","","NA"
"2017-03-02 06:00","2017","03","02","06:00","-16.2","","-21.7","","62","","33","","20","","","","99.11","","","","-26","","NA"
"2017-03-02 07:00","2017","03","02","07:00","-16.4","","-21.7","","63","","30","","8","","","","99.25","","","","-22","","NA"
"2017-03-02 08:00","2017","03","02","08:00","-16.4","","-22.9","","57","","29","","7","","","","99.39","","","","-21","","NA"
"2017-03-02 09:00","2017","03","02","09:00","-15.7","","-22.7","","55","","34","","13","","","","99.50","","","","-23","","NA"
"2017-03-02 10:00","2017","03","02","10:00","-14.9","","-22.9","","51","","33","","16","","","","99.59","","","","-23","","NA"
"2017-03-02 11:00","2017","03","02","11:00","-13.6","","-22.5","","47","","30","","16","","","","99.66","","","","-21","","NA"
"2017-03-02 12:00","2017","03","02","12:00","-11.8","","-20.7","","48","","30","","15","","","","99.71","","","","-19","","NA"
"2017-03-02 13:00","2017","03","02","13:00","-10.0","","-19.8","","45","","29","","17","","","","99.68","","","","-17","","NA"
"2017-03-02 14:00","2017","03","02","14:00","-9.7","","-18.3","","49","","30","","16","","","","99.65","","","","-17","","NA"
"2017-03-02 15:00","2017","03","02","15:00","-9.4","","-16.4","","56","","28","","20","","","","99.68","","","","-17","","NA"
"2017-03-02 16:00","2017","03","02","16:00","-9.4","","-16.7","","56","","28","","27","","","","99.73","","","","-18","","NA"
"2017-03-02 17:00","2017","03","02","17:00","-9.2","","-15.6","","60","","28","","24","","","","99.77","","","","-18","","NA"
"2017-03-02 18:00","2017","03","02","18:00","-9.5","","-15.5","","62","","29","","18","","","","99.84","","","","-17","","NA"
"2017-03-02 19:00","2017","03","02","19:00","-10.1","","-16.6","","59","","30","","14","","","","99.89","","","","-17","","NA"
