"Station Name","PUKASKWA (AUT)"
"Province","ONTARIO"
"Latitude","48.59"
"Longitude","-86.29"
"Elevation","207.60"
"Climate Identifier","6046767"
"WMO Identifier","71750"
"TC Identifier","WCJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1997-11-01 00:00","1997","11","01","00:00","2.3","","2.3","","100","","5","","15","","","M","","M","","","","","NA"
"1997-11-01 01:00","1997","11","01","01:00","2.8","","2.8","","100","","7","","17","","","M","","M","","","","","NA"
"1997-11-01 02:00","1997","11","01","02:00","3.7","","3.7","","100","","7","","13","","","M","","M","","","","","NA"
"1997-11-01 03:00","1997","11","01","03:00","3.5","","3.5","","100","","6","","15","","","M","","M","","","","","NA"
"1997-11-01 04:00","1997","11","01","04:00","4.3","","4.3","","100","","6","","15","","","M","","M","","","","","NA"
"1997-11-01 05:00","1997","11","01","05:00","5.2","","4.9","","98","","7","","28","","","M","","M","","","","","NA"
"1997-11-01 06:00","1997","11","01","06:00","5.5","","5.4","","99","","8","","28","","","M","","M","","","","","NA"
"1997-11-01 07:00","1997","11","01","07:00","6.1","","5.9","","99","","9","","26","","","M","","M","","","","","NA"
"1997-11-01 08:00","1997","11","01","08:00","6.5","","6.2","","98","","9","","30","","","M","","M","","","","","NA"
"1997-11-01 09:00","1997","11","01","09:00","7.8","","7.1","","95","","9","","28","","","M","","M","","","","","NA"
"1997-11-01 10:00","1997","11","01","10:00","8.9","","8.1","","95","","10","","26","","","M","","M","","","","","NA"
"1997-11-01 11:00","1997","11","01","11:00","9.6","","9.0","","96","","12","","19","","","M","","M","","","","","NA"
"1997-11-01 12:00","1997","11","01","12:00","10.2","","9.5","","95","","11","","15","","","M","","M","","","","","NA"
"1997-11-01 13:00","1997","11","01","13:00","10.4","","9.6","","95","","11","","24","","","M","","M","","","","","NA"
"1997-11-01 14:00","1997","11","01","14:00","10.3","","9.8","","97","","11","","22","","","M","","M","","","","","NA"
"1997-11-01 15:00","1997","11","01","15:00","10.4","","9.9","","97","","13","","22","","","M","","M","","","","","NA"
"1997-11-01 16:00","1997","11","01","16:00","10.6","","10.1","","97","","14","","28","","","M","","M","","","","","NA"
"1997-11-01 17:00","1997","11","01","17:00","10.2","","9.5","","95","","13","","20","","","M","","M","","","","","NA"
"1997-11-01 18:00","1997","11","01","18:00","10.1","","9.3","","95","","13","","17","","","M","","M","","","","","NA"
"1997-11-01 19:00","1997","11","01","19:00","9.8","","9.4","","97","","10","","17","","","M","","M","","","","","NA"
"1997-11-01 20:00","1997","11","01","20:00","9.6","","9.2","","97","","10","","20","","","M","","M","","","","","NA"
"1997-11-01 21:00","1997","11","01","21:00","8.1","","8.0","","99","","29","","6","","","M","","M","","","","","NA"
"1997-11-01 22:00","1997","11","01","22:00","8.3","","8.3","","100","","10","","9","","","M","","M","","","","","NA"
"1997-11-01 23:00","1997","11","01","23:00","8.0","","8.0","","100","","25","","6","","","M","","M","","","","","NA"
"1997-11-02 00:00","1997","11","02","00:00","7.2","","7.2","","100","","33","","7","","","M","","M","","","","","NA"
"1997-11-02 01:00","1997","11","02","01:00","7.3","","7.3","","100","","2","","7","","","M","","M","","","","","NA"
"1997-11-02 02:00","1997","11","02","02:00","8.2","","8.2","","100","","8","","15","","","M","","M","","","","","NA"
"1997-11-02 03:00","1997","11","02","03:00","8.2","","8.2","","100","","8","","15","","","M","","M","","","","","NA"
"1997-11-02 04:00","1997","11","02","04:00","8.0","","8.0","","100","","7","","13","","","M","","M","","","","","NA"
"1997-11-02 05:00","1997","11","02","05:00","7.8","","7.8","","100","","7","","11","","","M","","M","","","","","NA"
"1997-11-02 06:00","1997","11","02","06:00","7.9","","7.9","","100","","6","","17","","","M","","M","","","","","NA"
"1997-11-02 07:00","1997","11","02","07:00","8.3","","8.3","","100","","5","","22","","","M","","M","","","","","NA"
"1997-11-02 08:00","1997","11","02","08:00","8.6","","8.6","","100","","6","","24","","","M","","M","","","","","NA"
"1997-11-02 09:00","1997","11","02","09:00","8.7","","8.6","","99","","7","","19","","","M","","M","","","","","NA"
"1997-11-02 10:00","1997","11","02","10:00","8.9","","8.7","","99","","7","","19","","","M","","M","","","","","NA"
"1997-11-02 11:00","1997","11","02","11:00","9.2","","9.1","","99","","8","","15","","","M","","M","","","","","NA"
"1997-11-02 12:00","1997","11","02","12:00","6.3","","6.3","","100","","19","","17","","","M","","M","","","","","NA"
"1997-11-02 13:00","1997","11","02","13:00","5.5","","5.5","","100","","23","","26","","","M","","M","","","","","NA"
"1997-11-02 14:00","1997","11","02","14:00","5.2","","5.2","","100","","22","","20","","","M","","M","","","","","NA"
"1997-11-02 15:00","1997","11","02","15:00","5.0","","5.0","","100","","20","","26","","","M","","M","","","","","NA"
"1997-11-02 16:00","1997","11","02","16:00","4.8","","4.6","","99","","21","","22","","","M","","M","","","","","NA"
"1997-11-02 17:00","1997","11","02","17:00","4.7","","4.3","","97","","23","","19","","","M","","M","","","","","NA"
"1997-11-02 18:00","1997","11","02","18:00","4.7","","4.3","","97","","26","","15","","","M","","M","","","","","NA"
"1997-11-02 19:00","1997","11","02","19:00","4.9","","4.0","","94","","26","","15","","","M","","M","","","","","NA"
