"Station Name","OTTAWA INTL A"
"Province","ONTARIO"
"Latitude","45.32"
"Longitude","-75.67"
"Elevation","114.90"
"Climate Identifier","6106001"
"WMO Identifier","71628"
"TC Identifier","YOW"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-10-01 00:00","2013","10","01","00:00","16.8","","13.2","","79","","22","","6","","24.1","","100.09","","","","","","NA"
"2013-10-01 01:00","2013","10","01","01:00","16.8","","13.2","","79","","22","","5","","24.1","","100.08","","","","","","Mostly Cloudy"
"2013-10-01 02:00","2013","10","01","02:00","16.5","","13.5","","82","","23","","4","","24.1","","100.08","","","","","","NA"
"2013-10-01 03:00","2013","10","01","03:00","16.5","","13.8","","84","","22","","9","","24.1","","100.07","","","","","","NA"
"2013-10-01 04:00","2013","10","01","04:00","15.8","","13.7","","87","","18","","8","","24.1","","100.09","","","","","","Mostly Cloudy"
"2013-10-01 05:00","2013","10","01","05:00","15.0","","13.6","","91","","17","","10","","24.1","","100.09","","","","","","NA"
"2013-10-01 06:00","2013","10","01","06:00","15.1","","13.7","","91","","19","","7","","24.1","","100.14","","","","","","NA"
"2013-10-01 07:00","2013","10","01","07:00","15.2","","13.8","","91","","20","","8","","24.1","","100.16","","","","","","Mostly Cloudy"
"2013-10-01 08:00","2013","10","01","08:00","16.4","","14.6","","89","","23","","9","","24.1","","100.17","","","","","","NA"
"2013-10-01 09:00","2013","10","01","09:00","18.2","","15.3","","83","","23","","12","","24.1","","100.16","","","","","","NA"
"2013-10-01 10:00","2013","10","01","10:00","19.7","","15.2","","75","","33","","8","","24.1","","100.11","","","","","","Mainly Clear"
"2013-10-01 11:00","2013","10","01","11:00","20.3","","13.4","","64","","26","","10","","24.1","","100.07","","","","","","NA"
"2013-10-01 12:00","2013","10","01","12:00","20.9","","13.7","","63","","28","","9","","24.1","","100.00","","","","","","NA"
"2013-10-01 13:00","2013","10","01","13:00","21.5","","12.5","","56","","26","","15","","24.1","","99.94","","","","","","Mainly Clear"
"2013-10-01 14:00","2013","10","01","14:00","23.0","","11.9","","49","","21","","25","","24.1","","99.89","","25","","","","NA"
"2013-10-01 15:00","2013","10","01","15:00","23.0","","11.3","","47","","22","","19","","24.1","","99.83","","25","","","","NA"
"2013-10-01 16:00","2013","10","01","16:00","22.4","","11.6","","50","","20","","17","","24.1","","99.82","","","","","","Clear"
"2013-10-01 17:00","2013","10","01","17:00","20.9","","11.7","","55","","21","","14","","24.1","","99.80","","","","","","NA"
"2013-10-01 18:00","2013","10","01","18:00","18.4","","11.1","","62","","20","","10","","24.1","","99.80","","","","","","NA"
"2013-10-01 19:00","2013","10","01","19:00","17.7","","12.7","","72","","18","","13","","24.1","","99.81","","","","","","Mainly Clear"
"2013-10-01 20:00","2013","10","01","20:00","16.3","","12.9","","80","","18","","13","","24.1","","99.77","","","","","","NA"
"2013-10-01 21:00","2013","10","01","21:00","15.4","","12.4","","82","","18","","10","","24.1","","99.74","","","","","","NA"
"2013-10-01 22:00","2013","10","01","22:00","14.9","","12.3","","84","","17","","9","","24.1","","99.75","","","","","","Clear"
"2013-10-01 23:00","2013","10","01","23:00","14.4","","12.6","","89","","17","","9","","24.1","","99.72","","","","","","NA"
"2013-10-02 00:00","2013","10","02","00:00","14.4","","13.5","","94","","18","","9","","24.1","","99.64","","","","","","NA"
"2013-10-02 01:00","2013","10","02","01:00","15.1","","14.2","","94","","19","","12","","12.9","","99.65","","","","","","Mostly Cloudy"
"2013-10-02 02:00","2013","10","02","02:00","14.6","","14.0","","96","","20","","9","","11.3","","99.63","","","","","","NA"
"2013-10-02 03:00","2013","10","02","03:00","15.0","","14.4","","96","","22","","15","","11.3","","99.60","","","","","","NA"
"2013-10-02 04:00","2013","10","02","04:00","15.1","","14.5","","96","","22","","15","","9.7","","99.62","","","","","","Fog"
"2013-10-02 05:00","2013","10","02","05:00","14.9","","14.3","","96","","22","","12","","9.7","","99.66","","","","","","Fog"
"2013-10-02 06:00","2013","10","02","06:00","14.9","","14.1","","95","","22","","11","","8.1","","99.69","","","","","","Fog"
"2013-10-02 07:00","2013","10","02","07:00","15.6","","14.7","","94","","24","","9","","9.7","","99.75","","","","","","Fog"
"2013-10-02 08:00","2013","10","02","08:00","17.5","","15.7","","89","","23","","18","","16.1","","99.78","","","","","","NA"
"2013-10-02 09:00","2013","10","02","09:00","19.4","","16.1","","81","","26","","20","","24.1","","99.84","","","","","","NA"
