"Station Name","OTTAWA INTL A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","45.32"
"Longitude","-75.67"
"Elevation","114.90"
"Climate Identifier","6106001"
"WMO Identifier","71628"
"TC Identifier","YOW"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-11-01 00:00","2018","11","01","00:00","3.6","","3.4","","98","","23","","3","","6.4","","99.79","","","","","","Fog"
"2018-11-01 01:00","2018","11","01","01:00","2.4","","2.2","","98","","25","","8","","4.8","","99.84","","","","","","Fog"
"2018-11-01 02:00","2018","11","01","02:00","3.1","","2.8","","98","","27","","5","","3.2","","99.87","","","","","","Fog"
"2018-11-01 03:00","2018","11","01","03:00","3.6","","3.4","","98","","28","","8","","2.4","","99.87","","","","","","Fog"
"2018-11-01 04:00","2018","11","01","04:00","3.9","","3.7","","98","","29","","8","","1.2","","99.87","","","","","","Fog"
"2018-11-01 05:00","2018","11","01","05:00","3.5","","3.3","","98","","36","","2","","0.6","","99.90","","","","","","Fog"
"2018-11-01 06:00","2018","11","01","06:00","3.4","","3.2","","99","","24","","3","","0.2","","99.92","","","","","","Fog"
"2018-11-01 07:00","2018","11","01","07:00","2.6","","2.4","","99","","26","","4","","0.4","","100.00","","","","","","Fog"
"2018-11-01 08:00","2018","11","01","08:00","3.5","","3.2","","99","","36","","2","","0.4","","100.00","","","","","","Fog"
"2018-11-01 09:00","2018","11","01","09:00","3.9","","3.7","","99","","16","","6","","0.4","","100.00","","","","","","Fog"
"2018-11-01 10:00","2018","11","01","10:00","5.0","","4.8","","99","","16","","4","","4.8","","99.95","","","","","","Fog"
"2018-11-01 11:00","2018","11","01","11:00","5.7","","5.4","","98","","36","","1","","16.1","","99.91","","","","","","NA"
"2018-11-01 12:00","2018","11","01","12:00","6.4","","5.0","","91","","36","","3","","12.9","","99.89","","","","","","NA"
"2018-11-01 13:00","2018","11","01","13:00","7.0","","5.2","","89","","26","","3","","12.9","","99.86","","","","","","Cloudy"
"2018-11-01 14:00","2018","11","01","14:00","7.3","","5.3","","87","","36","","2","","16.1","","99.86","","","","","","NA"
"2018-11-01 15:00","2018","11","01","15:00","7.3","","5.0","","86","","28","","6","","24.1","","99.92","","","","","","NA"
"2018-11-01 16:00","2018","11","01","16:00","6.9","","4.9","","87","","36","","1","","24.1","","99.89","","","","","","Mostly Cloudy"
"2018-11-01 17:00","2018","11","01","17:00","6.6","","5.1","","90","","6","","5","","24.1","","99.85","","","","","","NA"
"2018-11-01 18:00","2018","11","01","18:00","5.8","","4.8","","94","","11","","7","","24.1","","99.84","","","","","","NA"
