"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","26.3","","21.2","","73","","24","","14","","24.1","","99.42","","35","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","25.7","","21.2","","76","","28","","11","","24.1","","99.53","","34","","","","Mainly Clear"
"2018-07-01 02:00","2018","07","01","02:00","25.7","","21.2","","76","","34","","7","","24.1","","99.56","","34","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","25.5","","21.3","","77","","19","","7","","24.1","","99.53","","34","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","24.4","","21.2","","82","","18","","4","","24.1","","99.50","","33","","","","Clear"
"2018-07-01 05:00","2018","07","01","05:00","24.0","","21.1","","83","","14","","9","","24.1","","99.53","","33","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","24.5","","21.7","","84","","21","","4","","24.1","","99.55","","34","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","25.9","","21.7","","77","","21","","10","","24.1","","99.56","","35","","","","Mainly Clear"
"2018-07-01 08:00","2018","07","01","08:00","27.9","","22.6","","72","","22","","9","","24.1","","99.58","","38","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","30.0","","23.1","","66","","24","","15","","24.1","","99.56","","40","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","31.3","","23.4","","62","","21","","13","","24.1","","99.54","","42","","","","Clear"
"2018-07-01 11:00","2018","07","01","11:00","32.4","","22.9","","57","","22","","15","","24.1","","99.49","","43","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","33.0","","22.4","","53","","26","","16","","24.1","","99.46","","43","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","33.5","","22.2","","51","","24","","25","","24.1","","99.43","","43","","","","Clear"
"2018-07-01 14:00","2018","07","01","14:00","34.1","","20.4","","44","","24","","23","","24.1","","99.41","","42","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","33.7","","21.2","","47","","19","","21","","24.1","","99.36","","42","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","33.2","","21.4","","49","","17","","25","","24.1","","99.32","","42","","","","Mainly Clear"
"2018-07-01 17:00","2018","07","01","17:00","33.4","","15.7","","34","","18","","22","","24.1","","99.27","","38","","","","NA"
"2018-07-01 18:00","2018","07","01","18:00","32.7","","15.7","","35","","21","","25","","24.1","","99.27","","37","","","","NA"
"2018-07-01 19:00","2018","07","01","19:00","31.5","","18.0","","44","","22","","21","","24.1","","99.28","","38","","","","Mainly Clear"
"2018-07-01 20:00","2018","07","01","20:00","30.8","","19.2","","49","","20","","17","","24.1","","99.28","","38","","","","NA"
"2018-07-01 21:00","2018","07","01","21:00","29.9","","19.7","","54","","20","","11","","24.1","","99.32","","37","","","","NA"
"2018-07-01 22:00","2018","07","01","22:00","28.6","","20.0","","59","","18","","11","","24.1","","99.34","","36","","","","Clear"
"2018-07-01 23:00","2018","07","01","23:00","27.2","","19.9","","64","","16","","10","","24.1","","99.35","","35","","","","NA"
"2018-07-02 00:00","2018","07","02","00:00","26.7","","19.6","","64","","17","","9","","24.1","","99.34","","34","","","","NA"
"2018-07-02 01:00","2018","07","02","01:00","25.8","","19.5","","68","","15","","7","","24.1","","99.29","","33","","","","Clear"
"2018-07-02 02:00","2018","07","02","02:00","25.1","","19.5","","71","","16","","5","","24.1","","99.26","","32","","","","NA"
"2018-07-02 03:00","2018","07","02","03:00","25.0","","19.5","","71","","15","","3","","24.1","","99.25","","32","","","","NA"
"2018-07-02 04:00","2018","07","02","04:00","24.5","","20.2","","77","","20","","8","","24.1","","99.24","","32","","","","Clear"
"2018-07-02 05:00","2018","07","02","05:00","26.1","","20.8","","72","","22","","16","","24.1","","99.28","","34","","","","NA"
"2018-07-02 06:00","2018","07","02","06:00","26.3","","21.1","","73","","22","","13","","24.1","","99.30","","35","","","","NA"
"2018-07-02 07:00","2018","07","02","07:00","27.4","","21.7","","71","","22","","16","","24.1","","99.33","","36","","","","Mainly Clear"
"2018-07-02 08:00","2018","07","02","08:00","28.7","","22.3","","68","","24","","25","","24.1","","99.36","","38","","","","NA"
"2018-07-02 09:00","2018","07","02","09:00","29.9","","22.8","","65","","24","","22","","24.1","","99.35","","40","","","","NA"
"2018-07-02 10:00","2018","07","02","10:00","31.1","","23.6","","64","","25","","17","","24.1","","99.38","","42","","","","Mainly Clear"
"2018-07-02 11:00","2018","07","02","11:00","32.0","","23.5","","60","","24","","16","","24.1","","99.38","","43","","","","NA"
"2018-07-02 12:00","2018","07","02","12:00","32.9","","22.9","","55","","25","","22","","24.1","","99.36","","43","","","","NA"
"2018-07-02 13:00","2018","07","02","13:00","32.8","","22.8","","55","","23","","25","","24.1","","99.37","","43","","","","Mostly Cloudy"
"2018-07-02 14:00","2018","07","02","14:00","33.1","","22.6","","53","","25","","21","","24.1","","99.38","","43","","","","NA"
"2018-07-02 15:00","2018","07","02","15:00","32.8","","21.5","","51","","26","","23","","24.1","","99.37","","42","","","","NA"
"2018-07-02 16:00","2018","07","02","16:00","32.3","","20.9","","50","","30","","24","","24.1","","99.38","","41","","","","Mostly Cloudy"
"2018-07-02 17:00","2018","07","02","17:00","31.3","","20.6","","52","","27","","18","","24.1","","99.43","","39","","","","NA"
"2018-07-02 18:00","2018","07","02","18:00","30.8","","20.5","","54","","32","","15","","24.1","","99.48","","39","","","","NA"
"2018-07-02 19:00","2018","07","02","19:00","29.3","","19.9","","56","","30","","22","","24.1","","99.59","","37","","","","Mainly Clear"
"2018-07-02 20:00","2018","07","02","20:00","27.2","","18.2","","57","","32","","23","","24.1","","99.70","","33","","","","NA"
"2018-07-02 21:00","2018","07","02","21:00","25.0","","17.8","","64","","35","","21","","24.1","","99.82","","31","","","","NA"
"2018-07-02 22:00","2018","07","02","22:00","23.0","","16.5","","66","","1","","14","","24.1","","99.86","","28","","","","Mainly Clear"
"2018-07-02 23:00","2018","07","02","23:00","22.1","","15.2","","65","","36","","9","","24.1","","99.92","","26","","","","NA"
"2018-07-03 00:00","2018","07","03","00:00","20.7","","14.7","","68","","36","","14","","24.1","","99.96","","","","","","NA"
"2018-07-03 01:00","2018","07","03","01:00","20.4","","15.1","","71","","32","","10","","24.1","","99.96","","","","","","Clear"
"2018-07-03 02:00","2018","07","03","02:00","20.4","","15.0","","71","","31","","7","","24.1","","100.00","","","","","","NA"
"2018-07-03 03:00","2018","07","03","03:00","19.4","","15.3","","77","","33","","7","","24.1","","100.04","","","","","","NA"
"2018-07-03 04:00","2018","07","03","04:00","19.6","","14.3","","71","","30","","9","","24.1","","100.09","","","","","","Mainly Clear"
"2018-07-03 05:00","2018","07","03","05:00","19.3","","13.8","","70","","32","","9","","24.1","","100.15","","","","","","NA"
"2018-07-03 06:00","2018","07","03","06:00","20.7","","13.1","","61","","1","","8","","24.1","","100.23","","","","","","NA"
"2018-07-03 07:00","2018","07","03","07:00","22.9","","13.8","","56","","3","","7","","24.1","","100.27","","26","","","","Mainly Clear"
"2018-07-03 08:00","2018","07","03","08:00","25.8","","14.8","","50","","3","","11","","24.1","","100.29","","30","","","","NA"
"2018-07-03 09:00","2018","07","03","09:00","27.7","","15.8","","48","","13","","13","","24.1","","100.34","","32","","","","NA"
"2018-07-03 10:00","2018","07","03","10:00","27.2","","15.5","","48","","15","","10","","24.1","","100.36","","31","","","","Mainly Clear"
"2018-07-03 11:00","2018","07","03","11:00","26.9","","15.1","","48","","15","","18","","24.1","","100.38","","31","","","","NA"
"2018-07-03 12:00","2018","07","03","12:00","27.3","","15.7","","49","","16","","16","","24.1","","100.39","","32","","","","NA"
"2018-07-03 13:00","2018","07","03","13:00","28.2","","14.8","","43","","16","","17","","24.1","","100.39","","32","","","","Clear"
"2018-07-03 14:00","2018","07","03","14:00","30.0","","15.2","","40","","11","","12","","24.1","","100.39","","34","","","","NA"
"2018-07-03 15:00","2018","07","03","15:00","29.7","","12.2","","33","","14","","16","","24.1","","100.36","","32","","","","NA"
"2018-07-03 16:00","2018","07","03","16:00","30.2","","13.3","","35","","12","","15","","24.1","","100.34","","33","","","","Clear"
"2018-07-03 17:00","2018","07","03","17:00","29.9","","13.9","","37","","15","","16","","24.1","","100.30","","33","","","","NA"
"2018-07-03 18:00","2018","07","03","18:00","29.9","","14.0","","37","","14","","9","","24.1","","100.29","","33","","","","NA"
"2018-07-03 19:00","2018","07","03","19:00","28.4","","12.6","","37","","15","","14","","24.1","","100.29","","31","","","","Mainly Clear"
"2018-07-03 20:00","2018","07","03","20:00","26.7","","12.4","","40","","14","","9","","24.1","","100.33","","29","","","","NA"
"2018-07-03 21:00","2018","07","03","21:00","25.7","","12.8","","44","","14","","10","","24.1","","100.37","","28","","","","NA"
"2018-07-03 22:00","2018","07","03","22:00","25.1","","12.9","","46","","12","","7","","24.1","","100.38","","28","","","","Clear"
"2018-07-03 23:00","2018","07","03","23:00","24.5","","13.4","","50","","7","","4","","24.1","","100.38","","28","","","","NA"
