"Station Name","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158733"
"WMO Identifier","71624"
"TC Identifier","YYZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1987-10-01 00:00","1987","10","01","00:00","8.5","","6.1","","85","","34","","20","","24.1","","98.71","","","","","","Mostly Cloudy"
"1987-10-01 01:00","1987","10","01","01:00","8.1","","5.6","","84","","33","","22","","24.1","","98.81","","","","","","Mostly Cloudy"
"1987-10-01 02:00","1987","10","01","02:00","8.4","","5.3","","81","","35","","22","","24.1","","98.81","","","","","","Mostly Cloudy"
"1987-10-01 03:00","1987","10","01","03:00","7.0","","5.4","","89","","34","","19","","24.1","","98.81","","","","","","Mainly Clear"
"1987-10-01 04:00","1987","10","01","04:00","6.4","","4.9","","90","","34","","15","","25.0","","98.84","","","","","","Mainly Clear"
"1987-10-01 05:00","1987","10","01","05:00","5.4","","3.8","","89","","32","","13","","25.0","","98.91","","","","","","Clear"
"1987-10-01 06:00","1987","10","01","06:00","5.3","","4.2","","93","","32","","9","","25.0","","99.01","","","","","","Clear"
"1987-10-01 07:00","1987","10","01","07:00","5.4","","4.7","","95","","31","","7","","40.2","","99.01","","","","","","Clear"
"1987-10-01 08:00","1987","10","01","08:00","8.1","","5.2","","82","","33","","13","","40.2","","99.04","","","","","","Clear"
"1987-10-01 09:00","1987","10","01","09:00","9.7","","4.7","","71","","34","","13","","40.2","","99.07","","","","","","Mainly Clear"
"1987-10-01 10:00","1987","10","01","10:00","10.2","","3.4","","63","","33","","7","","40.2","","99.01","","","","","","Mainly Clear"
"1987-10-01 11:00","1987","10","01","11:00","12.6","","4.6","","58","","30","","15","","40.2","","98.97","","","","","","Mostly Cloudy"
"1987-10-01 12:00","1987","10","01","12:00","12.6","","3.7","","55","","31","","9","","40.2","","98.91","","","","","","Mostly Cloudy"
"1987-10-01 13:00","1987","10","01","13:00","13.4","","3.0","","49","","32","","13","","40.2","","98.84","","","","","","Mostly Cloudy"
"1987-10-01 14:00","1987","10","01","14:00","12.8","","5.3","","60","","27","","15","","40.2","","98.74","","","","","","Mainly Clear"
"1987-10-01 15:00","1987","10","01","15:00","13.5","","2.5","","47","","26","","15","","40.2","","98.71","","","","","","Mainly Clear"
"1987-10-01 16:00","1987","10","01","16:00","13.0","","3.3","","52","","24","","9","","40.2","","98.64","","","","","","Mostly Cloudy"
"1987-10-01 17:00","1987","10","01","17:00","12.8","","4.3","","56","","23","","11","","40.2","","98.64","","","","","","Mostly Cloudy"
"1987-10-01 18:00","1987","10","01","18:00","12.1","","3.0","","54","","21","","13","","40.2","","98.57","","","","","","Mostly Cloudy"
"1987-10-01 19:00","1987","10","01","19:00","11.8","","4.0","","59","","19","","15","","25.0","","98.51","","","","","","Mostly Cloudy"
"1987-10-01 20:00","1987","10","01","20:00","11.4","","4.8","","64","","19","","17","","24.1","","98.47","","","","","","Rain Showers"
"1987-10-01 21:00","1987","10","01","21:00","11.6","","4.8","","63","","19","","15","","24.1","","98.37","","","","","","Cloudy"
"1987-10-01 22:00","1987","10","01","22:00","12.3","","6.0","","65","","20","","24","","24.1","","98.31","","","","","","Cloudy"
"1987-10-01 23:00","1987","10","01","23:00","13.0","","4.8","","57","","19","","20","","24.1","","98.21","","","","","","Mostly Cloudy"
"1987-10-02 00:00","1987","10","02","00:00","13.5","","5.4","","58","","19","","26","","24.1","","98.11","","","","","","Cloudy"
"1987-10-02 01:00","1987","10","02","01:00","13.9","","6.1","","59","","19","","35","","24.1","","97.97","","","","","","Cloudy"
"1987-10-02 02:00","1987","10","02","02:00","14.0","","6.1","","59","","19","","30","","24.1","","97.91","","","","","","Mostly Cloudy"
"1987-10-02 03:00","1987","10","02","03:00","13.6","","5.4","","58","","19","","30","","25.0","","97.87","","","","","","Cloudy"
"1987-10-02 04:00","1987","10","02","04:00","13.8","","5.6","","58","","20","","26","","25.0","","97.84","","","","","","Cloudy"
"1987-10-02 05:00","1987","10","02","05:00","13.0","","7.4","","69","","20","","19","","19.3","","97.84","","","","","","Rain"
"1987-10-02 06:00","1987","10","02","06:00","11.6","","8.2","","80","","18","","15","","19.3","","97.84","","","","","","Mainly Clear"
"1987-10-02 07:00","1987","10","02","07:00","12.7","","8.5","","75","","19","","17","","32.2","","97.87","","","","","","Cloudy"
"1987-10-02 08:00","1987","10","02","08:00","14.0","","9.0","","72","","20","","24","","32.2","","97.87","","","","","","Cloudy"
"1987-10-02 09:00","1987","10","02","09:00","13.7","","10.0","","78","","20","","26","","32.2","","97.87","","","","","","Cloudy"
"1987-10-02 10:00","1987","10","02","10:00","13.0","","10.9","","87","","20","","22","","24.1","","97.94","","","","","","Rain Showers"
"1987-10-02 11:00","1987","10","02","11:00","13.5","","11.8","","89","","20","","19","","24.1","","97.97","","","","","","Mostly Cloudy"
"1987-10-02 12:00","1987","10","02","12:00","16.2","","9.3","","63","","21","","30","","32.2","","98.04","","","","","","Mostly Cloudy"
"1987-10-02 13:00","1987","10","02","13:00","16.5","","6.1","","50","","23","","31","","32.2","","98.11","","","","","","Mostly Cloudy"
"1987-10-02 14:00","1987","10","02","14:00","15.8","","6.3","","53","","24","","22","","32.2","","98.17","","","","","","Mostly Cloudy"
"1987-10-02 15:00","1987","10","02","15:00","16.1","","7.2","","56","","24","","33","","32.2","","98.27","","","","","","Mostly Cloudy"
"1987-10-02 16:00","1987","10","02","16:00","13.4","","8.0","","70","","28","","30","","24.1","","98.44","","","","","","Mostly Cloudy"
"1987-10-02 17:00","1987","10","02","17:00","10.1","","8.1","","87","","29","","15","","32.2","","98.57","","","","","","Rain Showers"
"1987-10-02 18:00","1987","10","02","18:00","10.1","","5.3","","72","","29","","24","","24.1","","98.74","","","","","","Rain Showers"
"1987-10-02 19:00","1987","10","02","19:00","9.3","","5.1","","75","","29","","20","","25.0","","98.84","","","","","","Rain Showers"
"1987-10-02 20:00","1987","10","02","20:00","8.4","","4.0","","74","","30","","31","","25.0","","98.94","","","","","","Mostly Cloudy"
