"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-10-01 00:00","2016","10","01","00:00","13.5","","11.6","","88","","9","","21","","24.1","","100.25","","","","","","Drizzle"
"2016-10-01 01:00","2016","10","01","01:00","13.6","","11.0","","84","","11","","20","","24.1","","100.26","","","","","","Drizzle"
"2016-10-01 02:00","2016","10","01","02:00","13.5","","11.2","","86","","9","","13","","24.1","","100.19","","","","","","NA"
"2016-10-01 03:00","2016","10","01","03:00","13.1","","11.0","","87","","8","","14","","24.1","","100.13","","","","","","NA"
"2016-10-01 04:00","2016","10","01","04:00","13.2","","11.3","","88","","8","","16","","24.1","","100.09","","","","","","Mostly Cloudy"
"2016-10-01 05:00","2016","10","01","05:00","12.9","","11.5","","91","","9","","13","","24.1","","100.12","","","","","","NA"
"2016-10-01 06:00","2016","10","01","06:00","13.1","","11.7","","91","","9","","7","","24.1","","100.13","","","","","","NA"
"2016-10-01 07:00","2016","10","01","07:00","13.4","","11.6","","89","","10","","14","","24.1","","100.13","","","","","","Cloudy"
"2016-10-01 08:00","2016","10","01","08:00","13.3","","11.7","","90","","10","","11","","14.5","","100.10","","","","","","Rain"
"2016-10-01 09:00","2016","10","01","09:00","13.1","","12.2","","94","","11","","17","","9.7","","100.08","","","","","","Rain"
"2016-10-01 10:00","2016","10","01","10:00","13.3","","12.5","","95","","11","","16","","16.1","","100.08","","","","","","Cloudy"
"2016-10-01 11:00","2016","10","01","11:00","13.4","","12.8","","96","","10","","16","","8.1","","100.01","","","","","","Drizzle"
"2016-10-01 12:00","2016","10","01","12:00","13.8","","13.0","","95","","10","","18","","16.1","","99.95","","","","","","NA"
"2016-10-01 13:00","2016","10","01","13:00","14.0","","13.2","","95","","9","","15","","14.5","","99.88","","","","","","Cloudy"
"2016-10-01 14:00","2016","10","01","14:00","14.5","","13.6","","94","","8","","16","","9.7","","99.84","","","","","","Drizzle"
"2016-10-01 15:00","2016","10","01","15:00","14.5","","13.7","","95","","9","","14","","11.3","","99.81","","","","","","Drizzle"
"2016-10-01 16:00","2016","10","01","16:00","14.4","","13.6","","95","","7","","12","","16.1","","99.79","","","","","","Drizzle"
"2016-10-01 17:00","2016","10","01","17:00","14.7","","13.8","","94","","9","","13","","19.3","","99.78","","","","","","NA"
"2016-10-01 18:00","2016","10","01","18:00","15.2","","14.3","","94","","10","","11","","14.5","","99.74","","","","","","NA"
"2016-10-01 19:00","2016","10","01","19:00","15.6","","14.3","","92","","11","","20","","19.3","","99.71","","","","","","Cloudy"
"2016-10-01 20:00","2016","10","01","20:00","15.9","","14.1","","89","","11","","21","","24.1","","99.73","","","","","","NA"
"2016-10-01 21:00","2016","10","01","21:00","15.7","","14.3","","91","","10","","16","","24.1","","99.70","","","","","","NA"
"2016-10-01 22:00","2016","10","01","22:00","15.4","","14.5","","94","","11","","17","","19.3","","99.66","","","","","","Cloudy"
"2016-10-01 23:00","2016","10","01","23:00","15.3","","14.5","","95","","9","","14","","14.5","","99.62","","","","","","NA"
"2016-10-02 00:00","2016","10","02","00:00","15.4","","14.6","","95","","10","","9","","9.7","","99.61","","","","","","Fog"
"2016-10-02 01:00","2016","10","02","01:00","15.3","","14.7","","96","","7","","6","","4.8","","99.58","","","","","","Drizzle,Fog"
"2016-10-02 02:00","2016","10","02","02:00","15.0","","14.5","","97","","10","","8","","4.8","","99.57","","","","","","NA"
"2016-10-02 03:00","2016","10","02","03:00","15.0","","14.5","","97","","8","","5","","8.1","","99.51","","","","","","Drizzle,Fog"
"2016-10-02 04:00","2016","10","02","04:00","15.1","","14.6","","97","","24","","3","","9.7","","99.51","","","","","","Fog"
"2016-10-02 05:00","2016","10","02","05:00","15.0","","14.5","","97","","25","","3","","11.3","","99.51","","","","","","Drizzle"
"2016-10-02 06:00","2016","10","02","06:00","15.1","","14.6","","97","","21","","5","","11.3","","99.55","","","","","","NA"
"2016-10-02 07:00","2016","10","02","07:00","15.2","","14.7","","97","","30","","3","","11.3","","99.53","","","","","","Rain"
"2016-10-02 08:00","2016","10","02","08:00","15.9","","15.4","","97","","12","","3","","12.9","","99.49","","","","","","NA"
"2016-10-02 09:00","2016","10","02","09:00","17.3","","15.2","","87","","14","","7","","19.3","","99.47","","","","","","NA"
"2016-10-02 10:00","2016","10","02","10:00","18.6","","13.3","","71","","16","","5","","24.1","","99.46","","","","","","Mostly Cloudy"
"2016-10-02 11:00","2016","10","02","11:00","17.3","","14.6","","84","","16","","13","","16.1","","99.51","","","","","","Rain"
"2016-10-02 12:00","2016","10","02","12:00","16.0","","15.2","","95","","36","","3","","11.3","","99.46","","","","","","Moderate Rain Showers"
"2016-10-02 13:00","2016","10","02","13:00","17.9","","14.6","","81","","17","","4","","24.1","","99.40","","","","","","Mostly Cloudy"
"2016-10-02 14:00","2016","10","02","14:00","18.4","","14.2","","76","","18","","8","","24.1","","99.35","","","","","","NA"
"2016-10-02 15:00","2016","10","02","15:00","18.3","","13.4","","73","","28","","4","","24.1","","99.31","","","","","","NA"
"2016-10-02 16:00","2016","10","02","16:00","17.7","","15.4","","86","","18","","8","","24.1","","99.30","","","","","","Cloudy"
"2016-10-02 17:00","2016","10","02","17:00","17.5","","15.7","","89","","17","","5","","24.1","","99.34","","","","","","NA"
"2016-10-02 18:00","2016","10","02","18:00","17.4","","13.4","","77","","26","","14","","24.1","","99.37","","","","","","NA"
"2016-10-02 19:00","2016","10","02","19:00","16.5","","13.8","","84","","32","","13","","24.1","","99.40","","","","","","Cloudy"
"2016-10-02 20:00","2016","10","02","20:00","15.9","","14.1","","89","","29","","15","","24.1","","99.44","","","","","","NA"
"2016-10-02 21:00","2016","10","02","21:00","15.9","","13.4","","85","","30","","13","","24.1","","99.46","","","","","","NA"
"2016-10-02 22:00","2016","10","02","22:00","14.9","","13.5","","91","","28","","9","","24.1","","99.45","","","","","","Mostly Cloudy"
"2016-10-02 23:00","2016","10","02","23:00","14.5","","13.1","","91","","28","","10","","24.1","","99.47","","","","","","NA"
"2016-10-03 00:00","2016","10","03","00:00","13.6","","12.7","","94","","28","","8","","24.1","","99.49","","","","","","NA"
"2016-10-03 01:00","2016","10","03","01:00","14.3","","13.0","","92","","28","","9","","24.1","","99.49","","","","","","Mostly Cloudy"
"2016-10-03 02:00","2016","10","03","02:00","13.8","","12.9","","94","","28","","10","","24.1","","99.49","","","","","","NA"
"2016-10-03 03:00","2016","10","03","03:00","13.8","","12.9","","94","","30","","8","","24.1","","99.49","","","","","","NA"
"2016-10-03 04:00","2016","10","03","04:00","13.4","","12.6","","95","","32","","13","","24.1","","99.51","","","","","","Mainly Clear"
"2016-10-03 05:00","2016","10","03","05:00","14.6","","13.7","","94","","34","","16","","24.1","","99.54","","","","","","NA"
"2016-10-03 06:00","2016","10","03","06:00","14.4","","13.0","","91","","35","","13","","24.1","","99.59","","","","","","NA"
"2016-10-03 07:00","2016","10","03","07:00","14.8","","13.2","","90","","34","","17","","24.1","","99.66","","","","","","Mostly Cloudy"
"2016-10-03 08:00","2016","10","03","08:00","15.1","","13.7","","91","","35","","22","","24.1","","99.70","","","","","","NA"
"2016-10-03 09:00","2016","10","03","09:00","15.7","","13.6","","87","","35","","19","","24.1","","99.74","","","","","","NA"
"2016-10-03 10:00","2016","10","03","10:00","16.6","","13.9","","84","","2","","10","","24.1","","99.76","","","","","","Mostly Cloudy"
"2016-10-03 11:00","2016","10","03","11:00","17.3","","13.3","","77","","1","","12","","24.1","","99.79","","","","","","NA"
"2016-10-03 12:00","2016","10","03","12:00","17.8","","13.4","","75","","1","","9","","24.1","","99.80","","","","","","NA"
"2016-10-03 13:00","2016","10","03","13:00","18.1","","12.0","","67","","34","","5","","24.1","","99.77","","","","","","Mostly Cloudy"
"2016-10-03 14:00","2016","10","03","14:00","18.5","","12.3","","67","","2","","7","","24.1","","99.78","","","","","","NA"
"2016-10-03 15:00","2016","10","03","15:00","18.3","","12.4","","68","","36","","1","","24.1","","99.78","","","","","","NA"
"2016-10-03 16:00","2016","10","03","16:00","17.2","","14.0","","81","","14","","7","","24.1","","99.82","","","","","","Mostly Cloudy"
"2016-10-03 17:00","2016","10","03","17:00","17.8","","14.0","","78","","36","","1","","24.1","","99.86","","","","","","NA"
"2016-10-03 18:00","2016","10","03","18:00","17.6","","14.0","","79","","14","","6","","24.1","","99.90","","","","","","NA"
