"Station Name","WINDSOR A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139530"
"WMO Identifier","71538"
"TC Identifier","YQG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-01-01 00:00","2019","01","01","00:00","6.7","","5.4","","91","","28","","34","","12.9","","97.81","","","","","","NA"
"2019-01-01 01:00","2019","01","01","01:00","3.9","","2.4","","90","","29","","32","","16.1","","98.12","","","","","","NA"
"2019-01-01 02:00","2019","01","01","02:00","3.0","","1.3","","89","","30","","28","","16.1","","98.42","","","","","","NA"
"2019-01-01 03:00","2019","01","01","03:00","2.8","","0.9","","87","","30","","28","","16.1","","98.76","","","","","","NA"
"2019-01-01 04:00","2019","01","01","04:00","2.5","","0.2","","85","","32","","22","","16.1","","98.94","","","","","","NA"
"2019-01-01 05:00","2019","01","01","05:00","2.4","","0.0","","84","","31","","17","","16.1","","99.07","","","","","","NA"
"2019-01-01 06:00","2019","01","01","06:00","2.4","","-0.2","","83","","31","","15","","16.1","","99.35","","","","","","NA"
"2019-01-01 07:00","2019","01","01","07:00","2.4","","-0.2","","83","","33","","17","","16.1","","99.52","","","","","","NA"
"2019-01-01 08:00","2019","01","01","08:00","1.9","","-0.4","","85","","32","","15","","16.1","","99.63","","","","","","NA"
"2019-01-01 09:00","2019","01","01","09:00","2.3","","-0.2","","83","","32","","11","","16.1","","99.79","","","","","","NA"
"2019-01-01 10:00","2019","01","01","10:00","2.4","","-0.7","","80","","33","","15","","16.1","","99.92","","","","","","NA"
"2019-01-01 11:00","2019","01","01","11:00","2.6","","-1.4","","75","","33","","11","","16.1","","99.98","","","","","","NA"
"2019-01-01 12:00","2019","01","01","12:00","1.3","","-0.8","","86","","4","","18","","16.1","","99.99","","","","","","Rain"
"2019-01-01 13:00","2019","01","01","13:00","0.7","","-1.5","","85","","4","","15","","16.1","","99.99","","","","","","NA"
"2019-01-01 14:00","2019","01","01","14:00","0.0","","-2.6","","83","","2","","17","","16.1","","100.00","","","","-5","","NA"
"2019-01-01 15:00","2019","01","01","15:00","-0.5","","-2.2","","89","","4","","17","","6.4","","100.09","","","","-5","","Snow"
"2019-01-01 16:00","2019","01","01","16:00","-1.3","","-2.8","","89","","1","","15","","6.4","","100.16","","","","-6","","Snow"
"2019-01-01 17:00","2019","01","01","17:00","-1.7","","-3.4","","88","","3","","18","","16.1","","100.21","","","","-7","","NA"
"2019-01-01 18:00","2019","01","01","18:00","-1.9","","-4.0","","85","","2","","13","","16.1","","100.24","","","","-6","","NA"
"2019-01-01 19:00","2019","01","01","19:00","-1.9","","-4.1","","85","","4","","18","","16.1","","100.25","","","","-7","","NA"
"2019-01-01 20:00","2019","01","01","20:00","-2.3","","-4.3","","86","","2","","17","","16.1","","100.32","","","","-8","","NA"
"2019-01-01 21:00","2019","01","01","21:00","-2.7","","-4.6","","87","","36","","13","","16.1","","100.31","","","","-7","","NA"
"2019-01-01 22:00","2019","01","01","22:00","-2.9","","-5.3","","84","","36","","11","","16.1","","100.31","","","","-7","","NA"
"2019-01-01 23:00","2019","01","01","23:00","-3.0","","-5.3","","84","","1","","11","","16.1","","100.31","","","","-7","","NA"
"2019-01-02 00:00","2019","01","02","00:00","-3.0","","-5.2","","85","","2","","9","","16.1","","100.29","","","","-7","","NA"
