"Station Name","WINDSOR A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139527"
"WMO Identifier",""
"TC Identifier","YQG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-04-01 00:00","2018","04","01","00:00","1.5","","-3.9","","67","","30","","23","","24.1","","99.42","","","","","","NA"
"2018-04-01 01:00","2018","04","01","01:00","0.8","","-5.3","","64","","30","","23","","24.1","","99.54","","","","","","Mostly Cloudy"
"2018-04-01 02:00","2018","04","01","02:00","0.2","","-6.9","","59","","31","","20","","24.1","","99.58","","","","","","NA"
"2018-04-01 03:00","2018","04","01","03:00","-0.3","","-6.6","","63","","32","","14","","24.1","","99.60","","","","-5","","NA"
"2018-04-01 04:00","2018","04","01","04:00","-0.6","","-5.4","","70","","29","","10","","24.1","","99.66","","","","-4","","Mostly Cloudy"
"2018-04-01 05:00","2018","04","01","05:00","-0.2","","-5.5","","68","","31","","8","","24.1","","99.71","","","","-3","","NA"
"2018-04-01 06:00","2018","04","01","06:00","-0.3","","-5.3","","69","","34","","14","","24.1","","99.77","","","","-5","","NA"
"2018-04-01 07:00","2018","04","01","07:00","-1.4","","-5.8","","72","","35","","7","","24.1","","99.85","","","","-4","","Mostly Cloudy"
"2018-04-01 08:00","2018","04","01","08:00","-0.4","","-6.3","","64","","31","","12","","24.1","","99.91","","","","-4","","NA"
"2018-04-01 09:00","2018","04","01","09:00","0.2","","-6.3","","62","","32","","17","","24.1","","99.93","","","","","","NA"
"2018-04-01 10:00","2018","04","01","10:00","0.6","","-7.8","","53","","32","","17","","24.1","","99.96","","","","","","Mostly Cloudy"
"2018-04-01 11:00","2018","04","01","11:00","1.4","","-8.4","","48","","30","","20","","24.1","","99.98","","","","","","NA"
"2018-04-01 12:00","2018","04","01","12:00","2.4","","-8.7","","44","","32","","12","","24.1","","99.91","","","","","","NA"
"2018-04-01 13:00","2018","04","01","13:00","3.7","","-8.6","","40","","27","","18","","24.1","","99.87","","","","","","Mostly Cloudy"
"2018-04-01 14:00","2018","04","01","14:00","4.3","","-8.4","","39","","29","","16","","19.3","","99.82","","","","","","NA"
"2018-04-01 15:00","2018","04","01","15:00","4.5","","-8.4","","39","","25","","25","","19.3","","99.78","","","","","","NA"
"2018-04-01 16:00","2018","04","01","16:00","4.6","","-8.0","","40","","26","","18","","19.3","","99.73","","","","","","Cloudy"
"2018-04-01 17:00","2018","04","01","17:00","4.3","","-8.0","","40","","26","","14","","19.3","","99.67","","","","","","NA"
"2018-04-01 18:00","2018","04","01","18:00","3.5","","-7.7","","44","","23","","14","","19.3","","99.60","","","","","","NA"
"2018-04-01 19:00","2018","04","01","19:00","3.0","","-10.1","","38","","29","","17","","19.3","","99.60","","","","","","Cloudy"
"2018-04-01 20:00","2018","04","01","20:00","2.4","","-8.3","","45","","26","","13","","19.3","","99.60","","","","","","NA"
"2018-04-01 21:00","2018","04","01","21:00","2.2","","-9.4","","42","","29","","11","","19.3","","99.65","","","","","","NA"
"2018-04-01 22:00","2018","04","01","22:00","1.9","","-10.1","","41","","29","","15","","19.3","","99.65","","","","","","Cloudy"
"2018-04-01 23:00","2018","04","01","23:00","1.1","","-10.4","","42","","30","","12","","24.1","","99.58","","","","","","NA"
"2018-04-02 00:00","2018","04","02","00:00","-0.5","","-10.1","","48","","30","","9","","24.1","","99.59","","","","-4","","NA"
"2018-04-02 01:00","2018","04","02","01:00","-1.0","","-10.5","","49","","31","","16","","24.1","","99.63","","","","-6","","Mainly Clear"
"2018-04-02 02:00","2018","04","02","02:00","-1.9","","-11.3","","49","","32","","16","","24.1","","99.62","","","","-7","","NA"
"2018-04-02 03:00","2018","04","02","03:00","-3.0","","-10.6","","56","","33","","14","","24.1","","99.65","","","","-8","","NA"
"2018-04-02 04:00","2018","04","02","04:00","-3.6","","-11.4","","55","","33","","7","","24.1","","99.69","","","","-7","","Clear"
"2018-04-02 05:00","2018","04","02","05:00","-4.0","","-11.4","","57","","33","","10","","24.1","","99.74","","","","-8","","NA"
"2018-04-02 06:00","2018","04","02","06:00","-4.0","","-11.3","","57","","32","","7","","24.1","","99.78","","","","-7","","NA"
"2018-04-02 07:00","2018","04","02","07:00","-4.2","","-9.8","","65","","28","","5","","24.1","","99.81","","","","-6","","Clear"
"2018-04-02 08:00","2018","04","02","08:00","-1.9","","-10.4","","52","","31","","7","","24.1","","99.86","","","","-5","","NA"
"2018-04-02 09:00","2018","04","02","09:00","-0.5","","-10.8","","46","","5","","3","","24.1","","99.84","","","","-1","","NA"
"2018-04-02 10:00","2018","04","02","10:00","0.5","","-10.2","","45","","11","","7","","24.1","","99.84","","","","","","Clear"
"2018-04-02 11:00","2018","04","02","11:00","1.1","","-10.0","","44","","36","","2","","24.1","","99.87","","","","","","NA"
"2018-04-02 12:00","2018","04","02","12:00","2.8","","-7.8","","46","","21","","12","","24.1","","99.80","","","","","","NA"
"2018-04-02 13:00","2018","04","02","13:00","3.4","","-8.7","","41","","15","","11","","24.1","","99.73","","","","","","Mostly Cloudy"
"2018-04-02 14:00","2018","04","02","14:00","3.8","","-4.7","","54","","21","","19","","24.1","","99.65","","","","","","NA"
"2018-04-02 15:00","2018","04","02","15:00","3.6","","-5.9","","50","","21","","17","","19.3","","99.61","","","","","","NA"
"2018-04-02 16:00","2018","04","02","16:00","3.5","","-7.4","","45","","19","","13","","19.3","","99.54","","","","","","Mostly Cloudy"
"2018-04-02 17:00","2018","04","02","17:00","3.6","","-9.1","","39","","22","","16","","19.3","","99.58","","","","","","NA"
"2018-04-02 18:00","2018","04","02","18:00","3.4","","-6.7","","48","","16","","8","","19.3","","99.46","","","","","","NA"
"2018-04-02 19:00","2018","04","02","19:00","2.8","","-6.2","","51","","14","","7","","19.3","","99.48","","","","","","Cloudy"
"2018-04-02 20:00","2018","04","02","20:00","2.3","","-6.1","","54","","12","","12","","19.3","","99.35","","","","","","NA"
"2018-04-02 21:00","2018","04","02","21:00","1.6","","-6.0","","57","","11","","9","","19.3","","99.35","","","","","","NA"
"2018-04-02 22:00","2018","04","02","22:00","1.1","","-5.1","","63","","15","","7","","19.3","","99.43","","","","","","Mostly Cloudy"
"2018-04-02 23:00","2018","04","02","23:00","0.3","","-4.2","","72","","10","","13","","24.1","","99.30","","","","","","NA"
"2018-04-03 00:00","2018","04","03","00:00","0.0","","-3.2","","79","","10","","9","","24.1","","99.31","","","","-3","","NA"
"2018-04-03 01:00","2018","04","03","01:00","0.6","","-2.8","","78","","7","","11","","24.1","","99.23","","","","","","Cloudy"
"2018-04-03 02:00","2018","04","03","02:00","1.1","","-2.5","","77","","9","","8","","24.1","","99.13","","","","","","NA"
"2018-04-03 03:00","2018","04","03","03:00","1.3","","-2.7","","75","","7","","10","","24.1","","99.05","","","","","","NA"
"2018-04-03 04:00","2018","04","03","04:00","1.5","","-3.1","","71","","8","","17","","24.1","","98.93","","","","","","Cloudy"
"2018-04-03 05:00","2018","04","03","05:00","1.7","","-3.0","","71","","11","","10","","24.1","","98.95","","","","","","NA"
"2018-04-03 06:00","2018","04","03","06:00","1.8","","-3.0","","70","","9","","14","","24.1","","98.91","","","","","","NA"
"2018-04-03 07:00","2018","04","03","07:00","2.0","","-2.2","","74","","6","","12","","24.1","","98.94","","","","","","Cloudy"
"2018-04-03 08:00","2018","04","03","08:00","2.5","","-1.3","","76","","8","","19","","24.1","","98.85","","","","","","NA"
"2018-04-03 09:00","2018","04","03","09:00","3.1","","-0.6","","76","","7","","19","","24.1","","98.81","","","","","","NA"
"2018-04-03 10:00","2018","04","03","10:00","4.3","","0.1","","74","","7","","27","","24.1","","98.66","","","","","","Rain Showers"
"2018-04-03 11:00","2018","04","03","11:00","4.0","","0.1","","76","","7","","28","","24.1","","98.65","","","","","","NA"
"2018-04-03 12:00","2018","04","03","12:00","4.6","","1.2","","79","","10","","21","","12.9","","98.59","","","","","","NA"
"2018-04-03 13:00","2018","04","03","13:00","4.0","","2.0","","87","","9","","20","","8.1","","98.44","","","","","","Drizzle,Fog"
"2018-04-03 14:00","2018","04","03","14:00","3.5","","2.7","","94","","7","","18","","4.8","","98.37","","","","","","Rain,Drizzle,Fog"
"2018-04-03 15:00","2018","04","03","15:00","3.4","","2.8","","96","","8","","22","","3.2","","98.16","","","","","","Rain,Fog"
"2018-04-03 16:00","2018","04","03","16:00","3.2","","2.6","","96","","7","","22","","3.2","","98.02","","","","","","Drizzle"
"2018-04-03 17:00","2018","04","03","17:00","3.2","","2.7","","97","","7","","14","","4.8","","97.86","","","","","","Rain,Fog"
"2018-04-03 18:00","2018","04","03","18:00","3.3","","2.8","","97","","8","","27","","4.8","","97.58","","","","","","Rain Showers,Fog"
"2018-04-03 19:00","2018","04","03","19:00","3.5","","3.0","","97","","3","","23","","4.0","","97.58","","","","","","Thunderstorms,Moderate Rain Showers,Fog"
"2018-04-03 20:00","2018","04","03","20:00","3.4","","2.9","","97","","1","","25","","4.8","","97.53","","","","","","Rain Showers,Fog"
"2018-04-03 21:00","2018","04","03","21:00","3.6","","3.0","","96","","31","","25","","4.8","","97.56","","","","","","Thunderstorms,Moderate Rain Showers,Fog"
"2018-04-03 22:00","2018","04","03","22:00","2.8","","2.2","","96","","4","","18","","9.7","","97.28","","","","","","Rain Showers,Fog"
"2018-04-03 23:00","2018","04","03","23:00","2.5","","2.0","","97","","36","","15","","9.7","","97.18","","","","","","Fog"
"2018-04-04 00:00","2018","04","04","00:00","2.9","","2.5","","97","","30","","12","","8.1","","97.24","","","","","","Fog"
"2018-04-04 01:00","2018","04","04","01:00","2.7","","2.2","","96","","28","","23","","4.0","","97.36","","","","","","Fog"
"2018-04-04 02:00","2018","04","04","02:00","3.0","","2.5","","96","","25","","23","","2.4","","97.34","","","","","","Drizzle,Fog"
"2018-04-04 03:00","2018","04","04","03:00","2.9","","1.6","","91","","25","","43","","8.1","","97.45","","","","","","Drizzle,Fog"
