"Station Name","WINDSOR A"
"Province","ONTARIO"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139527"
"WMO Identifier",""
"TC Identifier","YQG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-05-01 00:00","2017","05","01","00:00","10.1","","10.0","","99","","12","","18","","8.1","","98.52","","","","","","Fog"
"2017-05-01 01:00","2017","05","01","01:00","9.6","","9.2","","97","","10","","15","","8.1","","98.40","","","","","","Fog"
"2017-05-01 02:00","2017","05","01","02:00","9.6","","9.3","","98","","7","","7","","11.3","","98.30","","","","","","NA"
"2017-05-01 03:00","2017","05","01","03:00","10.2","","9.9","","98","","9","","8","","11.3","","98.22","","","","","","Rain Showers"
"2017-05-01 04:00","2017","05","01","04:00","10.7","","10.4","","98","","9","","9","","11.3","","98.15","","","","","","Rain Showers"
"2017-05-01 05:00","2017","05","01","05:00","12.7","","12.6","","99","","12","","9","","12.9","","98.01","","","","","","Rain Showers"
"2017-05-01 06:00","2017","05","01","06:00","15.9","","14.6","","92","","16","","19","","12.9","","97.91","","","","","","Rain"
"2017-05-01 07:00","2017","05","01","07:00","16.8","","15.5","","92","","16","","21","","16.1","","97.88","","","","","","Rain"
"2017-05-01 08:00","2017","05","01","08:00","17.8","","15.8","","88","","18","","30","","8.1","","97.81","","","","","","Rain,Fog"
"2017-05-01 09:00","2017","05","01","09:00","14.5","","13.4","","93","","22","","15","","16.1","","97.84","","","","","","Rain"
"2017-05-01 10:00","2017","05","01","10:00","14.7","","13.1","","90","","17","","10","","12.9","","97.76","","","","","","Rain"
"2017-05-01 11:00","2017","05","01","11:00","14.9","","12.3","","84","","18","","15","","24.1","","97.72","","","","","","NA"
"2017-05-01 12:00","2017","05","01","12:00","16.4","","13.2","","81","","18","","24","","24.1","","97.66","","","","","","NA"
