"Station Name","WINDSOR A"
"Province","ONTARIO"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139525"
"WMO Identifier","71538"
"TC Identifier","YQG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1998-09-01 00:00","1998","09","01","00:00","16.0","","13.0","","82","","11","","2","","24.1","","99.43","","","","","","Clear"
"1998-09-01 01:00","1998","09","01","01:00","15.4","","12.4","","82","","15","","9","","24.1","","99.36","","","","","","Mainly Clear"
"1998-09-01 02:00","1998","09","01","02:00","14.9","","11.9","","82","","","","0","","24.1","","99.33","","","","","","Mainly Clear"
"1998-09-01 03:00","1998","09","01","03:00","15.0","","11.9","","82","","","","0","","24.1","","99.30","","","","","","Mainly Clear"
"1998-09-01 04:00","1998","09","01","04:00","15.7","","12.4","","81","","5","","6","","24.1","","99.26","","","","","","Mostly Cloudy"
"1998-09-01 05:00","1998","09","01","05:00","15.8","","12.7","","82","","8","","4","","24.1","","99.23","","","","","","Mostly Cloudy"
"1998-09-01 06:00","1998","09","01","06:00","15.1","","12.8","","86","","","","0","","24.1","","99.23","","","","","","Mostly Cloudy"
"1998-09-01 07:00","1998","09","01","07:00","16.8","","14.0","","84","","","","0","","24.1","","99.26","","","","","","Mostly Cloudy"
"1998-09-01 08:00","1998","09","01","08:00","18.9","","15.6","","81","","","","0","","24.1","","99.23","","","","","","Mainly Clear"
"1998-09-01 09:00","1998","09","01","09:00","21.5","","15.9","","70","","20","","13","","24.1","","99.23","","26","","","","Mostly Cloudy"
"1998-09-01 10:00","1998","09","01","10:00","22.6","","14.2","","59","","22","","13","","24.1","","99.23","","26","","","","Mostly Cloudy"
"1998-09-01 11:00","1998","09","01","11:00","23.7","","13.9","","54","","22","","19","","24.1","","99.13","","27","","","","Mostly Cloudy"
"1998-09-01 12:00","1998","09","01","12:00","24.6","","13.2","","49","","25","","19","","24.1","","99.10","","28","","","","Mostly Cloudy"
"1998-09-01 13:00","1998","09","01","13:00","25.4","","11.0","","40","","24","","24","","24.1","","99.00","","27","","","","Mostly Cloudy"
"1998-09-01 14:00","1998","09","01","14:00","25.4","","12.0","","43","","23","","15","","24.1","","98.96","","28","","","","Mostly Cloudy"
"1998-09-01 15:00","1998","09","01","15:00","24.5","","13.7","","51","","20","","22","","24.1","","98.90","","28","","","","Mostly Cloudy"
"1998-09-01 16:00","1998","09","01","16:00","24.2","","12.2","","47","","24","","22","","24.1","","98.86","","27","","","","Mostly Cloudy"
"1998-09-01 17:00","1998","09","01","17:00","24.4","","11.9","","46","","24","","24","","24.1","","98.80","","27","","","","Mostly Cloudy"
"1998-09-01 18:00","1998","09","01","18:00","23.3","","13.0","","52","","23","","19","","24.1","","98.76","","26","","","","Mainly Clear"
"1998-09-01 19:00","1998","09","01","19:00","21.5","","13.4","","60","","22","","9","","24.1","","98.70","","25","","","","Mainly Clear"
"1998-09-01 20:00","1998","09","01","20:00","19.8","","13.8","","68","","22","","9","","24.1","","98.66","","","","","","Mainly Clear"
"1998-09-01 21:00","1998","09","01","21:00","19.4","","13.7","","70","","24","","15","","24.1","","98.63","","","","","","Clear"
"1998-09-01 22:00","1998","09","01","22:00","19.4","","13.7","","70","","26","","19","","24.1","","98.63","","","","","","Mainly Clear"
"1998-09-01 23:00","1998","09","01","23:00","18.9","","13.6","","71","","26","","17","","24.1","","98.60","","","","","","Mainly Clear"
"1998-09-02 00:00","1998","09","02","00:00","18.2","","13.9","","76","","25","","15","","24.1","","98.57","","","","","","Mainly Clear"
"1998-09-02 01:00","1998","09","02","01:00","18.1","","13.4","","74","","27","","15","","24.1","","98.50","","","","","","Mostly Cloudy"
"1998-09-02 02:00","1998","09","02","02:00","18.2","","14.1","","77","","28","","15","","24.1","","98.47","","","","","","Rain Showers"
"1998-09-02 03:00","1998","09","02","03:00","14.7","","14.1","","96","","33","","22","","8.0","","98.53","","","","","","Rain Showers,Fog"
"1998-09-02 04:00","1998","09","02","04:00","14.2","","13.8","","97","","14","","11","","24.1","","98.30","","","","","","Mostly Cloudy"
"1998-09-02 05:00","1998","09","02","05:00","14.2","","13.9","","98","","25","","6","","24.1","","98.37","","","","","","Mainly Clear"
"1998-09-02 06:00","1998","09","02","06:00","14.0","","13.9","","99","","28","","11","","9.7","","98.40","","","","","","Fog"
"1998-09-02 07:00","1998","09","02","07:00","14.4","","14.2","","99","","26","","19","","8.0","","98.47","","","","","","Fog"
"1998-09-02 08:00","1998","09","02","08:00","15.0","","14.0","","94","","29","","22","","12.9","","98.50","","","","","","Mainly Clear"
"1998-09-02 09:00","1998","09","02","09:00","16.6","","13.1","","80","","31","","22","","16.1","","98.50","","","","","","Mainly Clear"
"1998-09-02 10:00","1998","09","02","10:00","17.9","","12.4","","70","","30","","19","","16.1","","98.57","","","","","","Clear"
"1998-09-02 11:00","1998","09","02","11:00","20.1","","11.5","","58","","31","","24","","12.9","","98.57","","","","","","Clear"
