\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,
\\For 2007,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2007-01-01,1,14850,680,1412,1194,985,4732,857,51,2685,527,1461,14584,-266
2007-01-01,2,14142,671,1395,1143,949,4495,795,44,2547,503,1399,13941,-201
2007-01-01,3,13464,667,1380,1075,914,4271,736,43,2428,486,1343,13343,-121
2007-01-01,4,12992,659,1393,1032,889,4137,697,41,2349,518,1319,13034,42
2007-01-01,5,12977,653,1402,1021,874,4044,679,41,2330,532,1299,12875,-102
2007-01-01,6,12941,651,1383,1030,878,4027,676,43,2349,508,1304,12849,-92
2007-01-01,7,13323,618,1405,1052,898,4094,697,42,2399,550,1334,13089,-234
2007-01-01,8,13464,623,1404,1081,914,4164,726,42,2473,574,1364,13365,-99
2007-01-01,9,13555,600,1399,1115,929,4174,758,46,2479,568,1378,13446,-109
2007-01-01,10,13830,597,1329,1201,942,4336,822,47,2546,530,1432,13782,-48
2007-01-01,11,14271,602,1324,1317,908,4520,892,51,2653,480,1510,14257,-14
2007-01-01,12,14750,605,1337,1379,872,4696,932,50,2721,503,1581,14676,-74
2007-01-01,13,15098,607,1352,1336,917,4815,946,50,2790,509,1627,14949,-149
2007-01-01,14,15154,605,1360,1315,907,4882,939,52,2829,513,1623,15025,-129
2007-01-01,15,15307,604,1387,1295,907,4952,931,52,2872,522,1628,15150,-157
2007-01-01,16,15631,606,1432,1391,867,5031,946,53,2967,533,1646,15472,-159
2007-01-01,17,16593,619,1467,1485,965,5318,1014,54,3116,560,1726,16324,-269
2007-01-01,18,17665,660,1513,1586,1052,5677,1105,55,3311,597,1821,17377,-288
2007-01-01,19,17407,663,1507,1554,1026,5685,1085,54,3265,593,1825,17257,-150
