\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,
\\For 2003,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2003-05-01,1,13702,809,1284,965,765,4422,622,41,2729,617,1611,13865,163
2003-05-01,2,13578,825,1283,923,752,4340,602,43,2731,615,1564,13678,100
2003-05-01,3,13411,834,1277,910,751,4281,591,45,2696,596,1553,13534,123
2003-05-01,4,13501,835,1277,922,758,4281,599,41,2724,609,1544,13590,89
2003-05-01,5,14010,847,1268,993,804,4469,643,51,2842,579,1592,14088,78
2003-05-01,6,15113,784,1278,1129,902,4951,770,56,3014,585,1723,15192,79
2003-05-01,7,16762,699,1355,1301,1016,5692,941,51,3294,639,1900,16888,126
2003-05-01,8,17768,757,1414,1375,1064,6105,991,49,3412,686,1985,17838,70
2003-05-01,9,18037,819,1441,1412,1041,6244,985,51,3424,685,2003,18105,68
2003-05-01,10,18191,855,1434,1367,1081,6323,985,56,3407,688,2041,18237,46
2003-05-01,11,18171,852,1427,1342,1098,6402,979,42,3374,686,2058,18260,89
2003-05-01,12,18121,859,1407,1302,1125,6426,958,47,3328,695,2064,18211,90
2003-05-01,13,18118,848,1389,1276,1149,6447,935,54,3326,710,2064,18198,80
2003-05-01,14,17988,862,1379,1262,1139,6398,916,48,3280,691,2034,18009,21
2003-05-01,15,18018,879,1389,1253,1126,6358,903,48,3345,688,2009,17998,-20
2003-05-01,16,18145,878,1396,1286,1134,6349,931,53,3370,689,2025,18111,-34
2003-05-01,17,18048,877,1348,1322,1127,6288,950,53,3345,685,2007,18002,-46
2003-05-01,18,17743,862,1304,1307,1129,6152,937,53,3331,672,1970,17717,-26
2003-05-01,19,17614,869,1337,1313,1122,6049,923,56,3361,662,1958,17650,36
2003-05-01,20,18004,872,1362,1330,1136,6148,954,57,3414,687,1989,17949,-55
2003-05-01,21,17704,884,1392,1340,1044,6038,951,51,3376,685,2006,17767,63
2003-05-01,22,16548,889,1397,1237,935,5592,851,42,3192,633,1900,16668,120
2003-05-01,23,15207,871,1356,1066,883,5041,737,43,2988,632,1770,15387,180
2003-05-01,24,14347,859,1352,984,809,4643,662,41,2811,658,1681,14500,153
2003-05-02,1,13871,854,1336,945,770,4428,628,41,2711,645,1635,13993,122
2003-05-02,2,13609,850,1323,931,750,4293,606,44,2702,636,1590,13725,116
2003-05-02,3,13457,838,1304,935,757,4225,596,47,2667,681,1582,13632,175
2003-05-02,4,13509,847,1309,967,743,4223,605,45,2659,634,1576,13608,99
2003-05-02,5,13952,852,1331,1026,785,4403,647,52,2722,617,1618,14053,101
2003-05-02,6,15227,859,1360,1160,941,4876,751,63,2919,577,1737,15243,16
2003-05-02,7,16887,870,1380,1334,1079,5545,905,56,3242,641,1901,16953,66
2003-05-02,8,17696,891,1432,1400,1105,5921,967,56,3308,684,2000,17764,68
2003-05-02,9,17923,889,1430,1405,1131,6112,960,56,3337,690,2027,18037,114
2003-05-02,10,18140,892,1437,1389,1111,6258,950,54,3381,695,2059,18226,86
2003-05-02,11,18118,869,1480,1371,1094,6318,936,49,3372,693,2062,18244,126
2003-05-02,12,17952,855,1428,1316,1089,6294,920,46,3347,679,2048,18022,70
2003-05-02,13,17656,828,1364,1259,1089,6266,906,50,3285,689,2043,17779,123
2003-05-02,14,17449,817,1328,1231,1075,6191,883,46,3294,674,2018,17557,108
2003-05-02,15,17238,812,1340,1211,1069,6105,861,49,3201,670,2007,17325,87
2003-05-02,16,17148,796,1351,1219,1064,6029,867,56,3199,666,1999,17246,98
2003-05-02,17,17051,803,1367,1228,1063,5936,877,52,3197,650,1983,17156,105
2003-05-02,18,16768,834,1316,1245,1014,5787,867,51,3145,640,1945,16844,76
2003-05-02,19,16623,838,1328,1241,984,5698,868,47,3173,639,1909,16725,102
2003-05-02,20,17049,877,1418,1266,1004,5794,889,58,3215,669,1956,17146,97
2003-05-02,21,17117,908,1461,1284,989,5801,896,52,3230,654,1975,17250,133
2003-05-02,22,16209,886,1324,917,924,5772,935,65,3022,579,1943,16367,158
2003-05-02,23,15061,862,1035,420,872,5673,1149,95,2842,500,1768,15216,155
2003-05-02,24,14191,868,1253,267,817,4899,1277,118,2627,463,1678,14267,76
2003-05-03,1,13630,852,1324,442,807,4606,910,96,2541,559,1557,13694,64
2003-05-03,2,13278,830,1318,940,795,4146,585,45,2540,605,1522,13326,48
2003-05-03,3,13184,827,1309,940,786,4063,581,45,2528,647,1498,13224,40
2003-05-03,4,13109,822,1315,947,785,4036,592,45,2504,627,1502,13175,66
2003-05-03,5,13254,821,1315,1003,750,4093,616,47,2553,545,1521,13264,10
2003-05-03,6,13478,814,1285,1037,790,4168,653,50,2613,573,1551,13534,56
2003-05-03,7,14216,835,1307,1131,861,4479,729,56,2717,521,1634,14270,54
2003-05-03,8,15195,864,1351,1216,922,4843,795,58,2878,566,1731,15224,29
2003-05-03,9,15908,871,1432,1260,958,5164,833,52,2969,582,1789,15910,2
2003-05-03,10,16145,862,1394,1279,958,5361,830,53,3010,599,1816,16162,17
2003-05-03,11,16093,856,1392,1260,950,5435,812,52,3007,604,1823,16191,98
2003-05-03,12,15857,839,1370,1209,976,5400,787,49,2959,600,1802,15991,134
2003-05-03,13,15632,844,1366,1159,975,5315,760,48,2908,591,1777,15743,111
2003-05-03,14,15279,840,1261,1130,948,5209,733,48,2876,572,1772,15389,110
2003-05-03,15,15031,836,1255,1110,939,5116,715,53,2818,571,1737,15150,119
2003-05-03,16,15131,838,1265,1131,946,5098,725,54,2841,571,1739,15208,77
2003-05-03,17,15266,832,1292,1166,960,5086,749,51,2876,570,1739,15321,55
2003-05-03,18,15094,826,1329,1153,957,5005,744,49,2825,561,1714,15163,69
2003-05-03,19,14858,829,1329,1135,924,4917,737,46,2805,554,1686,14962,104
2003-05-03,20,15281,845,1309,1202,955,5077,773,53,2902,576,1708,15400,119
2003-05-03,21,15522,859,1331,1212,952,5180,796,50,2963,592,1773,15708,186
2003-05-03,22,14928,861,1351,1163,873,4978,741,48,2838,575,1714,15142,214
2003-05-03,23,14080,846,1343,1076,826,4647,667,40,2686,542,1613,14286,206
2003-05-03,24,13369,833,1306,980,796,4332,610,39,2592,507,1522,13517,148
2003-05-04,1,12941,823,1281,952,758,4142,579,41,2446,540,1492,13054,113
2003-05-04,2,12669,816,1274,937,728,3997,568,45,2442,557,1440,12804,135
2003-05-04,3,12529,814,1265,934,728,3930,565,45,2413,512,1431,12637,108
2003-05-04,4,12524,813,1261,933,721,3893,572,48,2371,514,1453,12579,55
2003-05-04,5,12610,814,1256,948,738,3911,590,50,2472,578,1447,12804,194
2003-05-04,6,12703,820,1241,1006,735,3905,611,50,2478,598,1451,12895,192
2003-05-04,7,13208,825,1275,1052,774,4052,669,56,2560,516,1501,13280,72
2003-05-04,8,14031,848,1325,1152,837,4360,739,55,2705,518,1575,14114,83
2003-05-04,9,14688,871,1355,1182,891,4641,779,54,2804,537,1641,14755,67
2003-05-04,10,15026,894,1344,1180,929,4856,787,48,2819,551,1683,15091,65
2003-05-04,11,15181,889,1377,1155,968,5025,777,47,2829,558,1697,15322,141
2003-05-04,12,15227,904,1347,1153,959,5076,757,46,2847,564,1704,15357,130
2003-05-04,13,15021,899,1317,1126,959,5015,726,46,2814,556,1691,15149,128
2003-05-04,14,14770,896,1317,1101,938,4893,698,46,2797,550,1662,14898,128
2003-05-04,15,14727,894,1315,1095,933,4901,682,46,2777,546,1669,14858,131
2003-05-04,16,14867,900,1308,1138,938,4914,697,51,2790,551,1692,14979,112
2003-05-04,17,15015,898,1314,1166,958,4982,722,50,2808,553,1709,15160,145
2003-05-04,18,14973,896,1311,1124,959,4964,723,43,2848,550,1702,15120,147
2003-05-04,19,14958,884,1324,1127,940,4954,716,49,2822,559,1710,15085,127
2003-05-04,20,15666,894,1354,1223,999,5159,764,51,2966,588,1774,15772,106
2003-05-04,21,16028,912,1407,1229,997,5291,778,44,3022,603,1821,16104,76
2003-05-04,22,15294,902,1372,1140,900,5047,708,33,2944,614,1751,15411,117
2003-05-04,23,14177,888,1317,1043,783,4648,617,30,2735,620,1659,14340,163
2003-05-04,24,13402,867,1295,960,742,4366,565,28,2608,597,1594,13622,220
2003-05-05,1,13116,854,1289,902,750,4193,540,34,2547,600,1561,13270,154
2003-05-05,2,12971,857,1287,895,728,4109,533,30,2514,606,1553,13112,141
2003-05-05,3,12926,847,1264,900,732,4075,534,32,2538,625,1538,13085,159
2003-05-05,4,13032,856,1259,924,738,4114,548,38,2569,615,1540,13201,169
2003-05-05,5,13418,857,1170,832,779,4304,596,39,2669,593,1616,13455,37
2003-05-05,6,14709,867,1194,1071,904,4756,701,50,2886,589,1746,14764,55
2003-05-05,7,16593,902,1188,1225,1026,5537,849,51,3248,653,1926,16605,12
2003-05-05,8,17604,942,1235,1301,1064,5976,916,42,3462,709,2026,17673,69
2003-05-05,9,17916,935,1242,1309,1074,6188,920,41,3498,659,2072,17938,22
2003-05-05,10,18089,909,1237,1300,1094,6341,916,42,3582,647,2107,18175,86
2003-05-05,11,18288,909,1252,1289,1115,6402,908,41,3624,649,2132,18321,33
2003-05-05,12,18251,892,1273,1257,1127,6414,891,45,3610,642,2136,18287,36
2003-05-05,13,18263,876,1270,1226,1145,6417,890,36,3601,653,2151,18265,2
2003-05-05,14,18295,873,1276,1211,1135,6428,882,45,3601,650,2112,18213,-82
2003-05-05,15,18363,869,1285,1222,1127,6487,886,43,3693,658,2083,18353,-10
2003-05-05,16,18734,862,1324,1360,1092,6598,949,49,3797,675,2104,18810,76
2003-05-05,17,18741,870,1312,1397,1129,6629,998,50,3711,665,2094,18855,114
