\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,
\\For 2011,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2011-01-01,1,13369,565,1255,931,806,4578,845,87,2592,463,1322,13444,75
2011-01-01,2,12876,552,1223,890,765,4383,793,81,2491,464,1268,12910,34
2011-01-01,3,12436,542,1171,866,733,4203,745,74,2382,441,1240,12397,-39
2011-01-01,4,12141,545,1164,850,714,4071,717,76,2299,430,1219,12085,-56
2011-01-01,5,11856,548,1139,837,707,3978,704,79,2259,452,1207,11910,54
2011-01-01,6,11835,541,1141,847,715,3965,710,81,2289,433,1206,11928,93
2011-01-01,7,12051,531,1137,871,745,4019,736,82,2325,449,1225,12120,69
2011-01-01,8,12614,544,1166,904,773,4102,778,81,2420,467,1251,12486,-128
2011-01-01,9,12906,551,1158,929,832,4221,832,85,2470,488,1283,12849,-57
2011-01-01,10,13383,561,1188,985,890,4449,905,85,2551,488,1307,13409,26
2011-01-01,11,13990,568,1218,1028,948,4724,974,89,2662,443,1367,14021,31
2011-01-01,12,14565,569,1227,1070,988,4926,1018,90,2782,449,1432,14551,-14
2011-01-01,13,14972,572,1223,1094,1014,5084,1037,89,2801,461,1474,14849,-123
2011-01-01,14,14998,576,1239,1101,1024,5157,1032,89,2860,472,1476,15026,28
2011-01-01,15,15023,576,1254,1123,1001,5153,1015,87,2858,463,1456,14986,-37
2011-01-01,16,15051,584,1254,1138,1001,5168,1016,90,2885,467,1437,15040,-11
2011-01-01,17,15657,598,1287,1200,1053,5363,1077,89,2974,490,1481,15612,-45
2011-01-01,18,16338,618,1303,1243,1084,5615,1145,90,3138,507,1586,16329,-9
2011-01-01,19,16027,611,1292,1201,1042,5567,1116,88,3121,502,1584,16124,97
2011-01-01,20,15688,607,1296,1170,1000,5452,1077,86,3068,495,1555,15806,118
2011-01-01,21,15356,567,1304,1140,962,5353,1045,87,2987,493,1546,15484,128
2011-01-01,22,14969,561,1282,1090,928,5240,1009,89,2940,478,1527,15144,175
2011-01-01,23,14375,542,1268,1039,869,5030,949,86,2838,458,1465,14544,169
2011-01-01,24,13686,527,1240,964,815,4767,882,88,2678,423,1389,13773,87
2011-01-02,1,13087,542,1202,889,765,4510,817,85,2549,403,1329,13091,4
2011-01-02,2,12569,535,1216,843,738,4324,789,87,2455,385,1283,12655,86
2011-01-02,3,12361,523,1211,829,717,4193,775,87,2413,375,1262,12385,24
2011-01-02,4,12309,522,1217,818,718,4138,777,89,2375,379,1262,12295,-14
2011-01-02,5,12355,522,1227,826,728,4129,789,90,2373,384,1280,12348,-7
2011-01-02,6,12560,526,1219,841,753,4182,815,92,2406,398,1299,12531,-29
2011-01-02,7,13023,534,1235,887,798,4319,867,95,2513,411,1348,13007,-16
2011-01-02,8,13568,514,1230,935,862,4504,940,95,2645,458,1411,13594,26
2011-01-02,9,14218,528,1262,999,938,4692,1026,102,2764,464,1479,14254,36
2011-01-02,10,14959,538,1298,1064,1006,4978,1102,106,2887,475,1539,14993,34
2011-01-02,11,15535,554,1301,1115,1062,5243,1151,105,2981,491,1586,15589,54
2011-01-02,12,16039,559,1326,1135,1087,5456,1171,103,3073,495,1615,16020,-19
2011-01-02,13,16260,561,1330,1143,1088,5581,1186,102,3103,506,1634,16234,-26
2011-01-02,14,16218,542,1317,1124,1060,5616,1182,103,3144,512,1615,16215,-3
