,hmdxx_min,hmdxx_max,hmdxx_median-1,hmdxx_max_hour,temp_min,temp_max,dew_point_temp_max,sun_rise,sun_set,visibility_mean,day_of_week,week_of_year,day_type,daily_peak
1994-05-24,8.998045191260225,19.81820228075087,19.65507502928238,15.0,9.0,19.6,13.4,6.0,21.0,24.975,1.0,21.0,2,16173.0
1994-05-25,11.406291193030365,20.665710839558557,17.205396166817977,18.0,10.4,18.2,14.0,6.0,21.0,9.358333333333333,2.0,21.0,0,16017.0
1994-05-26,2.5632005663570503,15.259915687076592,17.722172023985358,2.0,3.9,13.0,12.3,6.0,21.0,9.65,3.0,21.0,0,16656.0
1994-05-27,-0.012864756392160004,12.970552560353664,6.567827222349763,17.0,2.0,14.8,2.3,6.0,21.0,34.50000000000001,4.0,21.0,0,16252.0
1994-05-30,13.632518581737326,30.133976218741456,18.724331961957247,14.0,13.1,27.2,13.6,6.0,21.0,22.270833333333343,0.0,22.0,0,16525.0
1994-05-31,18.963139940404,32.93189927397198,23.59045879442507,13.0,15.3,27.0,17.9,6.0,21.0,21.491666666666664,1.0,22.0,0,17104.0
1994-06-01,5.343838189935428,18.36571083955856,22.741797022356877,0.0,7.2,15.3,14.0,6.0,21.0,33.120833333333344,2.0,22.0,0,15876.0
1994-06-02,4.0222272096801435,17.247222470944777,12.297240505236113,14.0,5.4,17.0,7.6,6.0,21.0,33.86666666666667,3.0,22.0,0,15818.0
1994-06-03,5.812192244048767,22.373968885046214,11.28935794502554,12.0,7.0,23.0,7.8,6.0,21.0,35.13333333333334,4.0,22.0,0,16169.0
1994-06-06,14.795894867845632,29.743659501579472,18.349587311216425,14.0,13.5,25.2,17.5,6.0,21.0,16.80416666666667,0.0,23.0,0,17036.0
1994-06-07,11.50874485407466,26.29442934458951,18.620874361913774,15.0,11.0,22.2,15.2,6.0,21.0,15.90416666666667,1.0,23.0,0,16625.0
1994-06-08,6.626909929545523,15.363200566357053,18.532138712197327,14.0,7.2,16.8,6.8,6.0,21.0,34.50000000000001,2.0,23.0,0,15907.0
1994-06-09,4.0222272096801435,25.228665683400635,10.793956931546626,16.0,5.4,25.1,10.3,6.0,21.0,34.50000000000001,3.0,23.0,0,16357.0
1994-06-10,8.489479865156541,21.927486836704222,16.834478326761193,12.0,9.2,21.6,7.8,6.0,21.0,27.32500000000001,4.0,23.0,0,16392.0
1994-06-13,16.732138712197326,28.713368333110022,22.343295921434713,15.0,14.1,23.0,18.8,6.0,22.0,18.850000000000005,0.0,24.0,0,17288.0
1994-06-14,20.702954785535667,30.927768671591323,24.417828537736682,15.0,16.6,25.5,17.2,6.0,22.0,29.39166666666667,1.0,24.0,0,17580.0
1994-06-15,19.602954785535665,34.488015525440176,23.048649065833427,13.0,16.0,27.0,20.3,6.0,22.0,8.500000000000002,2.0,24.0,0,19239.0
