,temp_min,temp_max,temp_mean,temp_median,temp_max_hour,temp_min_hour,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,dew_point_temp_max_hour,dew_point_temp_min_hour,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,rel_hum_max_hour,rel_hum_min_hour,visibility_min,visibility_max,visibility_mean,visibility_median,visibility_max_hour,visibility_min_hour,press_min,press_max,press_mean,press_median,press_max_hour,press_min_hour,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,hmdxx_max_hour,hmdxx_min_hour,sun_set,sun_rise,hmdxx_median-1,day_of_week,week_of_year,workday_before_stat_hol,workday_after_stat_hol,daily_peak,year
1994-05-24,9.0,19.6,14.299999999999999,14.6,12.0,3.0,6.2,13.4,9.508333333333335,8.95,18.0,11.0,42.0,92.0,75.08333333333333,81.0,22.0,12.0,6.4,40.2,24.974999999999998,24.55,5.0,8.0,98.52,99.39,99.045,99.155,9.0,23.0,8.998045191260225,19.81820228075087,15.440329847017965,17.205396166817977,15.0,4.0,21.0,6.0,19.65507502928238,1.0,21.0,0,1,16173.0,1994.0
1994-05-25,10.4,18.2,14.491666666666665,14.95,16.0,2.0,9.4,14.0,11.825000000000001,12.25,18.0,1.0,64.0,96.0,84.66666666666667,87.0,2.0,16.0,6.4,12.9,9.358333333333333,9.7,15.0,5.0,98.26,98.46,98.35312500000003,98.36,0.0,17.0,11.406291193030366,20.66571083955856,16.695848816330983,17.72217202398536,18.0,3.0,21.0,6.0,17.205396166817977,2.0,21.0,0,0,16017.0,1994.0
1994-05-26,3.9,13.0,8.0375,7.0,0.0,20.0,1.9,12.3,6.729166666666665,5.8,5.0,22.0,81.0,97.0,91.41666666666667,91.5,5.0,22.0,4.8,24.1,9.65,8.85,23.0,5.0,97.89,99.09,98.295,98.125,21.0,6.0,2.5632005663570503,15.259915687076592,8.10256848931731,6.567827222349762,2.0,17.0,21.0,6.0,17.72217202398536,3.0,21.0,0,0,16656.0,1994.0
1994-05-27,2.0,14.8,8.712500000000002,8.7,16.0,3.0,-0.9,2.3,0.5625,0.4,14.0,15.0,36.0,95.0,59.833333333333336,54.5,1.0,15.0,25.0,40.2,34.50000000000001,40.2,5.0,0.0,99.12,99.52,99.39208333333333,99.45,9.0,0.0,-0.012864756392160004,12.970552560353664,6.695367520501288,6.599015660665944,17.0,3.0,21.0,6.0,6.567827222349762,4.0,21.0,0,0,16252.0,1994.0
1994-05-30,13.1,27.2,20.849999999999998,21.7,15.0,3.0,8.0,13.6,11.225,12.4,14.0,5.0,40.0,74.0,55.375,52.5,1.0,15.0,16.1,25.0,22.270833333333343,24.1,0.0,1.0,99.39,99.62,99.5195833333333,99.535,8.0,20.0,13.632518581737326,30.133976218741456,22.777216612083546,23.59045879442507,14.0,3.0,21.0,6.0,18.724331961957244,0.0,22.0,0,0,16525.0,1994.0
1994-05-31,15.3,27.0,20.533333333333335,19.5,13.0,22.0,11.9,17.9,15.220833333333333,14.9,13.0,1.0,58.0,96.0,72.66666666666667,71.5,23.0,0.0,8.0,40.2,21.491666666666664,19.3,16.0,23.0,98.59,99.42,98.95708333333333,98.825,0.0,14.0,18.963139940403998,32.931899273971986,24.70029800952487,22.741797022356874,13.0,22.0,21.0,6.0,23.59045879442507,1.0,22.0,0,0,17104.0,1994.0
1994-06-01,7.2,15.3,12.31666666666667,13.0,15.0,23.0,-1.6,14.0,5.033333333333333,4.3,0.0,19.0,38.0,94.0,63.083333333333336,62.0,0.0,19.0,9.7,40.2,33.120833333333344,40.2,5.0,0.0,98.59,99.35,98.96333333333332,99.005,22.0,2.0,5.343838189935429,18.36571083955856,11.821876707575688,12.297240505236111,0.0,23.0,21.0,6.0,22.741797022356874,2.0,22.0,0,0,15876.0,1994.0
1994-06-02,5.4,17.0,11.433333333333332,11.75,14.0,3.0,2.1,7.6,5.054166666666667,5.65,14.0,0.0,52.0,84.0,65.91666666666667,65.5,3.0,13.0,25.0,40.2,33.86666666666667,40.2,6.0,0.0,99.26,100.05,99.58666666666664,99.59,23.0,1.0,4.022227209680144,17.247222470944777,10.76785156017266,11.28935794502554,14.0,3.0,21.0,6.0,12.297240505236111,3.0,22.0,0,0,15818.0,1994.0
1994-06-03,7.0,23.0,15.700000000000001,16.8,17.0,4.0,3.2,7.8,5.312499999999999,5.25,9.0,3.0,30.0,87.0,54.125,52.5,4.0,17.0,25.0,40.2,35.13333333333334,40.2,5.0,0.0,99.72,100.15,99.94416666666666,100.005,7.0,17.0,5.812192244048766,22.373968885046217,15.112275771388319,16.345562136177072,12.0,3.0,21.0,6.0,11.28935794502554,4.0,22.0,0,0,16169.0,1994.0
1994-06-06,13.5,25.2,18.075000000000003,16.450000000000003,14.0,8.0,6.0,17.5,12.095833333333331,12.4,13.0,1.0,53.0,85.0,68.75,68.5,9.0,2.0,8.0,25.0,16.80416666666667,19.3,0.0,12.0,98.22,99.16,98.58583333333331,98.475,0.0,15.0,14.795894867845632,29.743659501579472,20.58345461858539,18.620874361913778,14.0,7.0,21.0,6.0,18.349587311216425,0.0,23.0,0,0,17036.0,1994.0
1994-06-07,11.0,22.2,16.458333333333332,15.850000000000001,15.0,21.0,7.8,15.2,12.429166666666667,12.8,10.0,23.0,63.0,93.0,77.83333333333333,80.5,6.0,11.0,8.0,25.0,15.90416666666667,12.9,22.0,8.0,98.56,99.32,98.86500000000001,98.825,23.0,0.0,11.508744854074658,26.29442934458951,19.02213090895453,18.532138712197323,15.0,20.0,21.0,6.0,18.620874361913778,1.0,23.0,0,0,16625.0,1994.0
